diseaseid	el	gene_dpi	protein_class_name	year_initial	uniprotid	disease_name	disease_class	disease_class_name	gene_symbol	year_final	disease_type	gene_pli	ei	geneid	gene_dsi	disease_semantic_type	protein_class	source	score
C0002395	strong	0.923	Enzyme	1998	P12821	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	ACE	2020	disease	1.0344e-37	0.915	1636	0.328	Disease or Syndrome	DTO_05007624	CURATED	0.9
C0002395		0.846	Enzyme modulator	1987	P05067	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	APP	2020	disease	0.046544	0.981	351	0.422	Disease or Syndrome	DTO_05007584	CURATED	0.9
C0002395		0.846		2000	O14672	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	ADAM10	2019	disease	1	0.986	102	0.489	Disease or Syndrome		CURATED	0.7
C0002395		0.846	Kinase	2000	P49841	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	GSK3B	2020	disease	0.95571	0.982	2932	0.43	Disease or Syndrome	DTO_03300101	CURATED	0.7
C0002395	strong	0.846		2001	Q30201	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	HFE	2018	disease	2.5587e-08	0.963	3077	0.436	Disease or Syndrome		CURATED	0.7
C0002395		0.962		1991	P02649	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	APOE	2020	disease	0.0018685	0.946	348	0.338	Disease or Syndrome		CURATED	0.7
C0002395		0.923		1988	P10636	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	MAPT	2020	disease	0.0060258	0.99	4137	0.446	Disease or Syndrome		CURATED	0.7
C0002395	limited	0.769		2007	Q9NZC2	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	TREM2	2020	disease	3.2892e-09	0.977	54209	0.519	Disease or Syndrome		CURATED	0.7
C0002395		0.846	Enzyme	1990	P49768	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	PSEN1	2020	disease	0.97322	0.971	5663	0.469	Disease or Syndrome	DTO_05007624	CURATED	0.7
C0002395		0.923	Enzyme	2002	P00749	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	PLAU	2013	disease	2.3058e-06	1	5328	0.425	Disease or Syndrome	DTO_05007624	CURATED	0.68
C0002395		0.769	Enzyme	1999	P56817	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	BACE1	2020	disease	0.87888	0.985	23621	0.559	Disease or Syndrome	DTO_05007624	CURATED	0.6
C0002395		0.577	Enzyme	2000	P14735	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	IDE	2019	disease	0.0066309	0.955	3416	0.604	Disease or Syndrome	DTO_05007624	CURATED	0.6
C0002395		0.962		1989	P01584	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	IL1B	2020	disease	0.13005	0.966	3553	0.276	Disease or Syndrome		CURATED	0.6
C0002395		0.846	Kinase	2002	P06213	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	INSR	2020	disease	3.6145e-05	1	3643	0.432	Disease or Syndrome	DTO_03300101	CURATED	0.6
C0002395		0.846		2004	P41159	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	LEP	2019	disease	0.46491	0.944	3952	0.349	Disease or Syndrome		CURATED	0.6
C0002395		0.846	Signaling	2000	P01303	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	NPY	2018	disease	0.14294	0.833	4852	0.447	Disease or Syndrome	DTO_05007599	CURATED	0.6
C0002395		0.885	Signaling	1996	P10415	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	BCL2	2019	disease	0.55903	1	596	0.291	Disease or Syndrome	DTO_05007599	CURATED	0.6
C0002395		0.923	Signaling	1991	P23560	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	BDNF	2020	disease	0.65626	0.958	627	0.345	Disease or Syndrome	DTO_05007599	CURATED	0.6
C0002395		0.923	Enzyme	1999	P42574	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	CASP3	2020	disease	0.10017	0.98	836	0.351	Disease or Syndrome	DTO_05007624	CURATED	0.6
C0002395		0.885		2002	P01344	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	IGF2	2019	disease	0.044127	1	3481	0.39	Disease or Syndrome		CURATED	0.57
C0002395		0.885	Kinase	2005	P08069	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	IGF1R	2020	disease	0.96799	1	3480	0.399	Disease or Syndrome	DTO_03300101	CURATED	0.56
C0002395		0.731	Transporter	2003	P25705	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	ATP5F1A	2017	disease	0.99945	1	498	0.604	Disease or Syndrome	DTO_05007405	CURATED	0.54
C0002395		0.923		1991	P01308	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	INS	2020	disease	0.30091	1	3630	0.445	Disease or Syndrome		CURATED	0.53
C0002395		0.885	Signaling	1997	Q07812	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	BAX	2018	disease	0.31746	1	581	0.417	Disease or Syndrome	DTO_05007599	CURATED	0.52
C0002395		0.577	Transporter	2011	Q8IZY2	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	ABCA7	2019	disease	2.1111e-55	0.985	10347	0.644	Disease or Syndrome	DTO_05007405	CURATED	0.5
C0002395		0.538	Transporter	2009	O96008	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	TOMM40	2020	disease	0.99218	0.978	10452	0.59	Disease or Syndrome	DTO_05007405	CURATED	0.5
C0002395		0.885		1991	P10909	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	CLU	2020	disease	7.8072e-05	0.94	1191	0.426	Disease or Syndrome		CURATED	0.5
C0002395		0.808		2009	P17927	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	CR1	2019	disease	1.6488e-35	0.971	1378	0.533	Disease or Syndrome		CURATED	0.5
C0002395		0.769	Enzyme modulator	1998	P01023	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	A2M	2018	disease	4.5229e-11	0.769	2	0.529	Disease or Syndrome	DTO_05007584	CURATED	0.5
C0002395		0.731	Kinase	2009	P21709	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	EPHA1	2019	disease	1.4624e-23	0.933	2041	0.544	Disease or Syndrome	DTO_03300101	CURATED	0.5
C0002395		0.731		2011	Q9Y5K6	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	CD2AP	2019	disease	0.22989	1	23607	0.558	Disease or Syndrome		CURATED	0.5
C0002395		0.692		2011	O00499	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	BIN1	2020	disease	0.77822	0.98	274	0.55	Disease or Syndrome		CURATED	0.5
C0002395		0.577		1999	P02654	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	APOC1	2019	disease	0.21685	1	341	0.581	Disease or Syndrome		CURATED	0.5
C0002395		0.923	Enzyme	1999	P05164	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	MPO	2019	disease	7.105e-15	1	4353	0.377	Disease or Syndrome	DTO_05007624	CURATED	0.5
C0002395		0.885		1999	P29474	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	NOS3	2018	disease	6.7246e-07	0.9	4846	0.378	Disease or Syndrome		CURATED	0.5
C0002395		0.654	Enzyme	1995	P49810	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	PSEN2	2020	disease	0.00053736	0.977	5664	0.55	Disease or Syndrome	DTO_05007624	CURATED	0.5
C0002395		0.692	Transporter	2004	Q92673	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	SORL1	2020	disease	7.6609e-11	0.973	6653	0.582	Disease or Syndrome	DTO_05007405	CURATED	0.5
C0002395		0.538	Transporter	2009	Q13492	Alzheimer's Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	PICALM	2019	disease	0.99896	0.947	8301	0.592	Disease or Syndrome	DTO_05007405	CURATED	0.5
