TNFRSF21 IGF1 {}
IGF1 MAP3K5 {}
IGF1 RPL6 {}
IGF1 DNMT1 {}
IGF1 NCSTN {}
IGF1 TALDO1 {}
IGF1 IL6 {}
CD2AP MAP3K5 {}
CD2AP DRD1 {}
MAP3K5 SQSTM1 {}
MAP3K5 IGF2 {}
MAP3K5 SIGMAR1 {}
MAP3K5 GFAP {}
MAP3K5 OPTN {}
MAP3K5 GSTA4 {}
MAP3K5 CHMP2B {}
MAP3K5 PICALM {}
MAP3K5 HLA-DRA {}
MAP3K5 BAG5 {}
MAP3K5 MAOB {}
MAP3K5 EPHA4 {}
DRD1 INPP5D {}
BACE1 TYROBP {}
TYROBP RPS8 {}
TYROBP PSEN2 {}
TYROBP ATP5A1 {}
TYROBP GSR {}
TYROBP HLA-DRA {}
LRRK2 TPI1 {}
LRRK2 INPP5D {}
LRRK2 DNM1L {}
LRRK2 NGF {}
LRRK2 EPHA4 {}
LRRK2 SETX {}
LRRK2 EPHA1 {}
LRRK2 PTGS2 {}
DNM1L EPHA4 {}
DNM1L PICALM {}
DNM1L DCTN1 {}
DNM1L ENO1 {}
NGF EPHA4 {}
NGF LEP {}
NGF IGF2 {}
NGF TOMM40 {}
NGF SNCA {}
NGF ENO1 {}
NGF FUS {}
EPHA4 EPHA1 {}
EPHA4 GSTA4 {}
EPHA4 CHMP2B {}
EPHA4 NQO1 {}
EPHA4 PICALM {}
EPHA1 IGF2 {}
EPHA1 PTGS2 {}
EPHA1 FUS {}
EPHA1 CALM1 {}
EPHA1 SNCA {}
EPHA1 NQO1 {}
EPHA1 PGRMC1 {}
PTGS2 TBK1 {}
PTGS2 CALM1 {}
PTGS2 CLU {}
PTGS2 EWSR1 {}
PTGS2 DCTN1 {}
PTGS2 SNCA {}
PTGS2 IGF1R {}
SQSTM1 FUS {}
IGF2 AMFR {}
IGF2 NOTCH3 {}
IGF2 A2M {}
IGF2 GDNF {}
IGF2 DCTN1 {}
IGF2 IGF1R {}
IGF2 UBQLN2 {}
IGF2 EWSR1 {}
IGF2 MAP2 {}
IGF2 GFAP {}
IGF2 INSR {}
IGF2 BCL2 {}
IGF2 SORL1 {}
IGF2 HSPA1A {}
IGF2 CASP3 {}
SIGMAR1 UNC13A {}
SIGMAR1 OPTN {}
OPTN MAOB {}
OPTN DCTN1 {}
OPTN BAG5 {}
GSTA4 RPL23A {}
PICALM FUS {}
HLA-DRA TFAM {}
HLA-DRA LEP {}
HLA-DRA RPS8 {}
HLA-DRA PSEN2 {}
HLA-DRA ESR1 {}
HLA-DRA ATP5A1 {}
HLA-DRA HNRNPA2B1 {}
HLA-DRA GSTM1 {}
BAG5 APOE {}
C9orf72 RELN {}
C9orf72 APOE {}
C9orf72 LEP {}
C9orf72 HMOX1 {}
C9orf72 APP {}
C9orf72 GAK {}
RELN LEP {}
RELN APOE {}
RELN GAK {}
RELN FUS {}
RELN HMOX1 {}
RELN APP {}
RELN DNMT1 {}
RELN BIN1 {}
RELN GSR {}
RELN VPS35 {}
APOE LEP {}
APOE HFE {}
APOE APP {}
APOE HMOX1 {}
APOE GAK {}
APOE NOS1 {}
LEP NCSTN {}
LEP DNMT1 {}
LEP TOMM40 {}
LEP GPX1 {}
LEP TP53 {}
LEP APP {}
LEP HMOX1 {}
LEP GAK {}
HMOX1 GAK {}
HMOX1 FBP1 {}
HMOX1 MAPT {}
HMOX1 APP {}
APP GAK {}
GAK ENO2 {}
GAK F2 {}
GAK NOS1 {}
GAK MATR3 {}
GAK NCSTN {}
GAK DCTN1 {}
GAK HLA-DRB5 {}
GAK GPX1 {}
GAK CRH {}
GAK DPYSL2 {}
ADAM10 TF {}
TF ATXN2 {}
TF HGF {}
RPL23A PINK1 {}
PARK2 BAX {}
PARK2 CDK5 {}
PARK2 ERBB4 {}
PARK2 APOC1 {}
BAX BDNF {}
CDK5 ATXN2 {}
ERBB4 WWOX {}
