INPP5D HMOX1 {}
HMOX1 DPYSL2 {}
HMOX1 CRH {}
HMOX1 LEP {}
HMOX1 RPL23A {}
HMOX1 NOTCH3 {}
HMOX1 F2 {}
ESR1 DPYSL2 {}
ESR1 VAPB {}
DPYSL2 GAPDHS {}
DPYSL2 EPHA1 {}
DPYSL2 IL1B {}
DPYSL2 IGF1 {}
DPYSL2 PGRMC1 {}
DPYSL2 TARDBP {}
DPYSL2 MATR3 {}
DPYSL2 PTGS2 {}
DPYSL2 FBP1 {}
DPYSL2 A2M {}
DPYSL2 GSR {}
DPYSL2 CD2AP {}
VAPB TF {}
HSPA1A VPS35 {}
VPS35 DPP6 {}
VPS35 EPHA4 {}
VPS35 DNMT1 {}
VPS35 ADAM10 {}
VPS35 FBP1 {}
BIN1 C9orf72 {}
BIN1 TF {}
BIN1 PPARGC1A {}
BIN1 MAP3K5 {}
BIN1 CD2AP {}
BIN1 CDK5 {}
BIN1 WWOX {}
BIN1 DCTN1 {}
PPARGC1A CD2AP {}
PPARGC1A PTGS2 {}
PPARGC1A IGF1R {}
PPARGC1A BACE1 {}
MAP3K5 CD2AP {}
MAP3K5 HGF {}
MAP3K5 EPHA1 {}
MAP3K5 BAX {}
MAP3K5 PON1 {}
MAP3K5 BACE1 {}
MAP3K5 CCNF {}
CD2AP WWOX {}
CD2AP TARDBP {}
CD2AP MATR3 {}
CD2AP GPX1 {}
CD2AP PTGS2 {}
WWOX EPHA1 {}
WWOX DCTN1 {}
WWOX CCNF {}
WWOX GSTA4 {}
WWOX PON1 {}
WWOX GPX1 {}
WWOX MAOB {}
DCTN1 RPS8 {}
DCTN1 GSTA4 {}
DCTN1 MAPT {}
DCTN1 IGF2 {}
DCTN1 IGF1R {}
DCTN1 PON1 {}
DCTN1 TALDO1 {}
GAPDHS CCNF {}
EPHA1 PSEN1 {}
EPHA1 SOD1 {}
EPHA1 PARK7 {}
EPHA1 INS {}
EPHA1 IGF1R {}
EPHA1 TALDO1 {}
EPHA1 APP {}
EPHA1 IGF2 {}
EPHA1 INSR {}
EPHA1 IGF1 {}
EPHA1 SORL1 {}
EPHA1 GAK {}
EPHA1 IDE {}
EPHA1 CLU {}
EPHA1 ENO2 {}
IL1B TOMM40 {}
IL1B PGRMC1 {}
PGRMC1 GSR {}
PGRMC1 IGF1R {}
PGRMC1 A2M {}
TARDBP UNC13A {}
PTGS2 CCNF {}
FBP1 GDNF {}
FBP1 HGF {}
FBP1 DPP6 {}
FBP1 EPHA4 {}
FBP1 OPTN {}
FBP1 DNMT1 {}
FBP1 TFAM {}
FBP1 RPL6 {}
A2M ERBB4 {}
GFAP MTHFR {}
GFAP ERBB4 {}
GFAP HGF {}
GFAP PICALM {}
GFAP ENO1 {}
GFAP DNM1L {}
MTHFR HGF {}
MTHFR ERBB4 {}
MTHFR DNM1L {}
MTHFR CCNF {}
MTHFR PICALM {}
MTHFR ENO1 {}
MTHFR LEP {}
MTHFR HFE {}
MTHFR ADAM10 {}
MTHFR AMFR {}
ERBB4 HGF {}
ERBB4 BCL2 {}
