fold,target,dataset,model,acc,pre,rec,f1,auc
1,LOAD,Only APOE,Baseline model,0.64375,0.782051282051282,0.6039603960396039,0.6815642458100558,0.6519550260110758
2,LOAD,Only APOE,Baseline model,0.65,0.7528089887640449,0.6633663366336634,0.7052631578947368,0.6376908877328411
3,LOAD,Only APOE,Baseline model,0.675,0.7525773195876289,0.7227722772277227,0.7373737373737373,0.6558147340157745
4,LOAD,Only APOE,Baseline model,0.63125,0.7441860465116279,0.6336633663366337,0.6844919786096256,0.6324047659003189
5,LOAD,Only APOE,Baseline model,0.59375,0.7,0.6237623762376238,0.6596858638743456,0.5740057056553114
6,LOAD,Only APOE,Baseline model,0.64375,0.7472527472527473,0.6666666666666666,0.7046632124352332,0.6274509803921567
7,LOAD,Only APOE,Baseline model,0.68125,0.7741935483870968,0.7058823529411765,0.7384615384615385,0.6825557809330629
8,LOAD,Only APOE,Baseline model,0.69375,0.7912087912087912,0.7058823529411765,0.7461139896373057,0.6923597025016904
9,LOAD,Only APOE,Baseline model,0.7125,0.7978723404255319,0.7352941176470589,0.7653061224489796,0.7087559161595673
10,LOAD,Only APOE,Baseline model,0.7232704402515723,0.8202247191011236,0.7227722772277227,0.7684210526315789,0.7275520655513827
