fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET,Only APOE,Baseline model,0.6575342465753424,0.625,0.975609756097561,0.7619047619047619,0.7278963414634146
2,PET,Only APOE,Baseline model,0.5753424657534246,0.5833333333333334,0.8536585365853658,0.6930693069306931,0.6375762195121951
3,PET,Only APOE,Baseline model,0.5616438356164384,0.6363636363636364,0.5121951219512195,0.5675675675675675,0.5457317073170732
4,PET,Only APOE,Baseline model,0.547945205479452,0.5625,0.8780487804878049,0.6857142857142857,0.6882621951219512
5,PET,Only APOE,Baseline model,0.6164383561643836,0.6,0.9512195121951219,0.7358490566037735,0.7629573170731707
6,PET,Only APOE,Baseline model,0.6164383561643836,0.7241379310344828,0.5121951219512195,0.6000000000000001,0.6154725609756098
7,PET,Only APOE,Baseline model,0.5972222222222222,0.5882352941176471,0.975609756097561,0.7339449541284403,0.5881195908733281
8,PET,Only APOE,Baseline model,0.6666666666666666,0.7741935483870968,0.5853658536585366,0.6666666666666666,0.6565696302124311
9,PET,Only APOE,Baseline model,0.5694444444444444,0.6666666666666666,0.4878048780487805,0.5633802816901409,0.5743509047993706
10,PET,Only APOE,Baseline model,0.5833333333333334,0.5846153846153846,0.926829268292683,0.7169811320754716,0.6085759244689221
