fold,target,dataset,model,acc,pre,rec,f1,auc
1,PETandDX,Only APOE,Baseline model,0.6875,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.7064777327935222
2,PETandDX,Only APOE,Baseline model,0.625,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6052631578947368
3,PETandDX,Only APOE,Baseline model,0.6875,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.7043650793650794
4,PETandDX,Only APOE,Baseline model,0.75,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7222222222222222
5,PETandDX,Only APOE,Baseline model,0.8125,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7757936507936508
6,PETandDX,Only APOE,Baseline model,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5476190476190476
7,PETandDX,Only APOE,Baseline model,0.78125,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.8134920634920635
8,PETandDX,Only APOE,Baseline model,0.7741935483870968,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.8141025641025641
9,PETandDX,Only APOE,Baseline model,0.6774193548387096,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.6559829059829061
10,PETandDX,Only APOE,Baseline model,0.6451612903225806,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.5555555555555556
