fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.6771,0.7431,0.7017,0.7208,0.7551
2,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.6354,0.6967,0.6842,0.6896,0.726
3,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.7188,0.8,0.6667,0.7273,0.758
4,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.7396,0.7052,0.9259,0.8001,0.8115
5,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.8021,0.8187,0.8333,0.8258,0.8637
6,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.5625,0.6,0.6667,0.6316,0.6495
7,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.7708,0.7764,0.8333,0.803,0.7731
8,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.7204,0.7845,0.7222,0.751,0.7051
9,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.6774,0.7857,0.6111,0.6875,0.7621
10,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.6882,0.6707,0.9074,0.771,0.7165
1,PET&DX,AD PPT-Ohmnet,LogReg,0.625,0.68421052631579,0.68421052631579,0.68421052631579,0.684210526315789
1,PET&DX,AD PPT-Ohmnet,SVM linear,0.65625,0.681818181818182,0.789473684210526,0.731707317073171,0.696356275303644
1,PET&DX,AD PPT-Ohmnet,SVM rbf,0.625,0.68421052631579,0.68421052631579,0.68421052631579,0.639676113360324
1,PET&DX,AD PPT-Ohmnet,Random Forest,0.65625,0.722222222222222,0.68421052631579,0.702702702702703,0.680161943319838
2,PET&DX,AD PPT-Ohmnet,LogReg,0.625,0.68421052631579,0.68421052631579,0.68421052631579,0.6417004048583
2,PET&DX,AD PPT-Ohmnet,SVM linear,0.625,0.68421052631579,0.68421052631579,0.68421052631579,0.657894736842105
2,PET&DX,AD PPT-Ohmnet,SVM rbf,0.65625,0.722222222222222,0.68421052631579,0.702702702702703,0.601214574898785
2,PET&DX,AD PPT-Ohmnet,Random Forest,0.65625,0.75,0.631578947368421,0.685714285714286,0.661943319838057
3,PET&DX,AD PPT-Ohmnet,LogReg,0.59375,0.631578947368421,0.666666666666667,0.648648648648649,0.652777777777778
