fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET,AD BioGRID,GNN GraphGym,0.726,0.7314,0.8211,0.7672,0.7199
2,PET,AD BioGRID,GNN GraphGym,0.6255,0.6695,0.6585,0.664,0.616
3,PET,AD BioGRID,GNN GraphGym,0.5662,0.6141,0.6748,0.6203,0.6372
4,PET,AD BioGRID,GNN GraphGym,0.6529,0.7103,0.6504,0.6774,0.7189
5,PET,AD BioGRID,GNN GraphGym,0.6712,0.665,0.9106,0.7607,0.8004
6,PET,AD BioGRID,GNN GraphGym,0.6164,0.6343,0.8374,0.7057,0.6536
7,PET,AD BioGRID,GNN GraphGym,0.6018,0.6148,0.8049,0.6959,0.6071
8,PET,AD BioGRID,GNN GraphGym,0.6389,0.6963,0.6585,0.675,0.6366
9,PET,AD BioGRID,GNN GraphGym,0.5463,0.6373,0.4715,0.542,0.5819
10,PET,AD BioGRID,GNN GraphGym,0.6296,0.6467,0.7724,0.7038,0.6761
1,PET,AD GIANT,GNN GraphGym,0.6027,0.6197,0.813,0.6945,0.6814
2,PET,AD GIANT,GNN GraphGym,0.5342,0.7443,0.5122,0.4614,0.621
3,PET,AD GIANT,GNN GraphGym,0.5525,0.5972,0.6911,0.6314,0.5669
4,PET,AD GIANT,GNN GraphGym,0.6986,0.8066,0.6098,0.6915,0.7989
5,PET,AD GIANT,GNN GraphGym,0.758,0.7555,0.8537,0.7993,0.7903
6,PET,AD GIANT,GNN GraphGym,0.5708,0.7572,0.374,0.4642,0.6761
7,PET,AD GIANT,GNN GraphGym,0.574,0.5721,1,0.7278,0.5928
8,PET,AD GIANT,GNN GraphGym,0.6389,0.6718,0.7154,0.6929,0.6752
9,PET,AD GIANT,GNN GraphGym,0.5555,0.6249,0.561,0.5883,0.6166
10,PET,AD GIANT,GNN GraphGym,0.5926,0.6736,0.5854,0.5884,0.6157
1,PET,AD HuRI,GNN GraphGym,0.6438,0.697,0.7561,0.702,0.6986
2,PET,AD HuRI,GNN GraphGym,0.6301,0.6842,0.6341,0.6582,0.6547
3,PET,AD HuRI,GNN GraphGym,0.5479,0.6061,0.6341,0.6027,0.6002
4,PET,AD HuRI,GNN GraphGym,0.6803,0.7739,0.6098,0.6819,0.7401
5,PET,AD HuRI,GNN GraphGym,0.7762,0.7847,0.8293,0.8063,0.794
6,PET,AD HuRI,GNN GraphGym,0.6164,0.7241,0.5122,0.6,0.6561
7,PET,AD HuRI,GNN GraphGym,0.5833,0.6341,0.6341,0.6341,0.6084
8,PET,AD HuRI,GNN GraphGym,0.6667,0.7742,0.5854,0.6667,0.6926
9,PET,AD HuRI,GNN GraphGym,0.5694,0.6667,0.4878,0.5634,0.62
10,PET,AD HuRI,GNN GraphGym,0.6528,0.6739,0.7561,0.7126,0.6271
1,PET,AD PPT-Ohmnet,GNN GraphGym,0.6849,0.742,0.6748,0.7065,0.7236
2,PET,AD PPT-Ohmnet,GNN GraphGym,0.6301,0.6669,0.6829,0.6748,0.6625
3,PET,AD PPT-Ohmnet,GNN GraphGym,0.516,0.3978,0.4878,0.4234,0.6149
4,PET,AD PPT-Ohmnet,GNN GraphGym,0.7032,0.8024,0.626,0.7029,0.775
5,PET,AD PPT-Ohmnet,GNN GraphGym,0.7762,0.7808,0.8374,0.8079,0.7941
6,PET,AD PPT-Ohmnet,GNN GraphGym,0.621,0.7055,0.561,0.6222,0.6832
7,PET,AD PPT-Ohmnet,GNN GraphGym,0.5741,0.6227,0.6422,0.632,0.6203
8,PET,AD PPT-Ohmnet,GNN GraphGym,0.6528,0.7273,0.6342,0.6746,0.6436
9,PET,AD PPT-Ohmnet,GNN GraphGym,0.5648,0.6495,0.5122,0.5725,0.6198
10,PET,AD PPT-Ohmnet,GNN GraphGym,0.6389,0.644,0.8293,0.7229,0.6643
1,PET,AD STRING,GNN GraphGym,0.6438,0.6496,0.8293,0.7255,0.7027
2,PET,AD STRING,GNN GraphGym,0.6575,0.6715,0.7805,0.7161,0.6535
3,PET,AD STRING,GNN GraphGym,0.5753,0.6022,0.7886,0.6688,0.6212
4,PET,AD STRING,GNN GraphGym,0.7123,0.7048,0.8699,0.7706,0.7905
5,PET,AD STRING,GNN GraphGym,0.7534,0.7545,0.8374,0.7929,0.7575
6,PET,AD STRING,GNN GraphGym,0.6347,0.6806,0.6585,0.6651,0.69
7,PET,AD STRING,GNN GraphGym,0.5879,0.622,0.7073,0.6612,0.6032
8,PET,AD STRING,GNN GraphGym,0.625,0.7077,0.626,0.6474,0.6777
9,PET,AD STRING,GNN GraphGym,0.5741,0.6047,0.7398,0.6606,0.5924
10,PET,AD STRING,GNN GraphGym,0.6435,0.6446,0.8374,0.7271,0.6739
