fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET&DX,AD BioGRID,GNN GraphGym,0.7083,0.7376,0.7894,0.761,0.7645
2,PET&DX,AD BioGRID,GNN GraphGym,0.6458,0.6937,0.7193,0.7055,0.6356
3,PET&DX,AD BioGRID,GNN GraphGym,0.6041,0.7327,0.4815,0.56,0.6885
4,PET&DX,AD BioGRID,GNN GraphGym,0.7396,0.6997,0.9444,0.8036,0.8042
5,PET&DX,AD BioGRID,GNN GraphGym,0.8646,0.8474,0.9259,0.8848,0.9167
6,PET&DX,AD BioGRID,GNN GraphGym,0.75,0.75,0.8333,0.7895,0.7672
7,PET&DX,AD BioGRID,GNN GraphGym,0.7188,0.7464,0.8148,0.7606,0.7937
8,PET&DX,AD BioGRID,GNN GraphGym,0.4731,0.3621,0.3333,0.2745,0.6838
9,PET&DX,AD BioGRID,GNN GraphGym,0.7419,0.7451,0.8518,0.7936,0.7892
10,PET&DX,AD BioGRID,GNN GraphGym,0.5806,0.676,0.5556,0.5822,0.683
1,PET&DX,AD GIANT,GNN GraphGym,0.6666,0.7216,0.7193,0.7193,0.7281
2,PET&DX,AD GIANT,GNN GraphGym,0.6354,0.7303,0.7017,0.6633,0.6201
3,PET&DX,AD GIANT,GNN GraphGym,0.7396,0.9246,0.5926,0.7167,0.8016
4,PET&DX,AD GIANT,GNN GraphGym,0.6145,0.6215,0.8148,0.7049,0.6647
5,PET&DX,AD GIANT,GNN GraphGym,0.75,0.7367,0.8704,0.7973,0.787
6,PET&DX,AD GIANT,GNN GraphGym,0.5521,0.6035,0.5926,0.5979,0.6151
7,PET&DX,AD GIANT,GNN GraphGym,0.6563,0.7159,0.7222,0.6962,0.7063
8,PET&DX,AD GIANT,GNN GraphGym,0.5269,0.5079,0.2593,0.3135,0.7215
9,PET&DX,AD GIANT,GNN GraphGym,0.6344,0.7776,0.5185,0.6171,0.7286
10,PET&DX,AD GIANT,GNN GraphGym,0.6667,0.6828,0.7963,0.7349,0.6617
1,PET&DX,AD HuRI,GNN GraphGym,0.6875,0.7647,0.6842,0.7222,0.7106
2,PET&DX,AD HuRI,GNN GraphGym,0.6042,0.6864,0.614,0.6471,0.6316
3,PET&DX,AD HuRI,GNN GraphGym,0.6875,0.7857,0.6111,0.6875,0.7453
4,PET&DX,AD HuRI,GNN GraphGym,0.7188,0.6905,0.9074,0.7839,0.7659
5,PET&DX,AD HuRI,GNN GraphGym,0.7812,0.7895,0.8333,0.8108,0.8584
6,PET&DX,AD HuRI,GNN GraphGym,0.5833,0.6097,0.7778,0.6728,0.6726
7,PET&DX,AD HuRI,GNN GraphGym,0.7395,0.7437,0.8333,0.7844,0.791
8,PET&DX,AD HuRI,GNN GraphGym,0.7312,0.8,0.7407,0.7646,0.8084
9,PET&DX,AD HuRI,GNN GraphGym,0.6452,0.7059,0.6667,0.6857,0.7222
10,PET&DX,AD HuRI,GNN GraphGym,0.6452,0.6522,0.8333,0.7317,0.6909
1,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.6771,0.7431,0.7017,0.7208,0.7551
2,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.6354,0.6967,0.6842,0.6896,0.726
3,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.7188,0.8,0.6667,0.7273,0.758
4,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.7396,0.7052,0.9259,0.8001,0.8115
5,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.8021,0.8187,0.8333,0.8258,0.8637
6,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.5625,0.6,0.6667,0.6316,0.6495
7,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.7708,0.7764,0.8333,0.803,0.7731
8,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.7204,0.7845,0.7222,0.751,0.7051
9,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.6774,0.7857,0.6111,0.6875,0.7621
10,PET&DX,AD PPT-Ohmnet,GNN GraphGym,0.6882,0.6707,0.9074,0.771,0.7165
1,PET&DX,AD STRING,GNN GraphGym,0.6875,0.7757,0.6667,0.7169,0.7881
2,PET&DX,AD STRING,GNN GraphGym,0.6354,0.7492,0.5789,0.653,0.6572
3,PET&DX,AD STRING,GNN GraphGym,0.6562,0.653,0.8333,0.732,0.7698
4,PET&DX,AD STRING,GNN GraphGym,0.7292,0.7041,0.9259,0.7947,0.7831
5,PET&DX,AD STRING,GNN GraphGym,0.6562,0.6402,0.9259,0.7509,0.8122
6,PET&DX,AD STRING,GNN GraphGym,0.5834,0.5783,0.9629,0.7223,0.709
7,PET&DX,AD STRING,GNN GraphGym,0.7188,0.7139,0.8333,0.7687,0.7791
8,PET&DX,AD STRING,GNN GraphGym,0.6667,0.8356,0.537,0.6452,0.7892
9,PET&DX,AD STRING,GNN GraphGym,0.7097,0.7504,0.7593,0.7511,0.7593
10,PET&DX,AD STRING,GNN GraphGym,0.6344,0.6355,0.8704,0.7315,0.6553
