fold,target,dataset,model,acc,pre,rec,f1,auc
1,LOAD,AD PPT-Ohmnet,Logistic Regression,0.65,0.7472527472527473,0.6732673267326733,0.7083333333333334,0.6444034233931868
1,LOAD,AD PPT-Ohmnet,SVM Linear,0.65625,0.7053571428571429,0.7821782178217822,0.7417840375586855,0.6532975331431449
1,LOAD,AD PPT-Ohmnet,SVM RBF,0.63125,0.63125,1.0,0.7739463601532567,0.6571572411478437
1,LOAD,AD PPT-Ohmnet,Random Forest,0.6375,0.7009345794392523,0.7425742574257426,0.7211538461538461,0.6564859875818091
2,LOAD,AD PPT-Ohmnet,Logistic Regression,0.65,0.7528089887640449,0.6633663366336634,0.7052631578947368,0.6514515858365497
2,LOAD,AD PPT-Ohmnet,SVM Linear,0.65625,0.7090909090909091,0.7722772277227723,0.7393364928909952,0.6141970129216312
2,LOAD,AD PPT-Ohmnet,SVM RBF,0.65,0.7528089887640449,0.6633663366336634,0.7052631578947368,0.6266152038932706
2,LOAD,AD PPT-Ohmnet,Random Forest,0.65625,0.7090909090909091,0.7722772277227723,0.7393364928909952,0.6262795771102534
3,LOAD,AD PPT-Ohmnet,Logistic Regression,0.675,0.7378640776699029,0.7524752475247525,0.7450980392156863,0.6385299546903842
3,LOAD,AD PPT-Ohmnet,SVM Linear,0.63125,0.63125,1.0,0.7739463601532567,0.6566538009733177
3,LOAD,AD PPT-Ohmnet,SVM RBF,0.675,0.7525773195876289,0.7227722772277227,0.7373737373737373,0.647591877831851
3,LOAD,AD PPT-Ohmnet,Random Forest,0.68125,0.7232142857142857,0.801980198019802,0.7605633802816901,0.6514515858365498
4,LOAD,AD PPT-Ohmnet,Logistic Regression,0.625,0.7204301075268817,0.6633663366336634,0.6907216494845362,0.6372713542540694
4,LOAD,AD PPT-Ohmnet,SVM Linear,0.6375,0.6902654867256637,0.7722772277227723,0.7289719626168225,0.6307266319852325
4,LOAD,AD PPT-Ohmnet,SVM RBF,0.63125,0.63125,1.0,0.7739463601532567,0.6597583487162275
4,LOAD,AD PPT-Ohmnet,Random Forest,0.65,0.7102803738317757,0.7524752475247525,0.7307692307692308,0.6802315824802819
5,LOAD,AD PPT-Ohmnet,Logistic Regression,0.6,0.7032967032967034,0.6336633663366337,0.6666666666666667,0.5588185937237792
5,LOAD,AD PPT-Ohmnet,SVM Linear,0.60625,0.7065217391304348,0.6435643564356436,0.6735751295336788,0.5688873972142976
5,LOAD,AD PPT-Ohmnet,SVM RBF,0.63125,0.63125,1.0,0.7739463601532567,0.5490854170162779
5,LOAD,AD PPT-Ohmnet,Random Forest,0.60625,0.7065217391304348,0.6435643564356436,0.6735751295336788,0.5586507803322706
6,LOAD,AD PPT-Ohmnet,Logistic Regression,0.6125,0.6886792452830188,0.7156862745098039,0.7019230769230769,0.6030256930358351
6,LOAD,AD PPT-Ohmnet,SVM Linear,0.6,0.6583333333333333,0.7745098039215687,0.7117117117117117,0.6021805273833671
6,LOAD,AD PPT-Ohmnet,SVM RBF,0.6375,0.6375,1.0,0.7786259541984732,0.6216193373901284
6,LOAD,AD PPT-Ohmnet,Random Forest,0.60625,0.6756756756756757,0.7352941176470589,0.7042253521126761,0.6057302231237324
7,LOAD,AD PPT-Ohmnet,Logistic Regression,0.65625,0.7238095238095238,0.7450980392156863,0.7342995169082125,0.6697937795807979
7,LOAD,AD PPT-Ohmnet,SVM Linear,0.65,0.6796875,0.8529411764705882,0.7565217391304347,0.6441007437457741
7,LOAD,AD PPT-Ohmnet,SVM RBF,0.6375,0.6375,1.0,0.7786259541984732,0.67131507775524
7,LOAD,AD PPT-Ohmnet,Random Forest,0.64375,0.6771653543307087,0.8431372549019608,0.7510917030567685,0.6625253549695741
8,LOAD,AD PPT-Ohmnet,Logistic Regression,0.6875,0.76,0.7450980392156863,0.7524752475247525,0.7021636240703177
8,LOAD,AD PPT-Ohmnet,SVM Linear,0.71875,0.7522123893805309,0.8333333333333334,0.7906976744186047,0.7021636240703177
8,LOAD,AD PPT-Ohmnet,SVM RBF,0.6375,0.6375,1.0,0.7786259541984732,0.688471940500338
8,LOAD,AD PPT-Ohmnet,Random Forest,0.725,0.7636363636363637,0.8235294117647058,0.7924528301886793,0.6979377958079782
9,LOAD,AD PPT-Ohmnet,Logistic Regression,0.69375,0.7731958762886598,0.7352941176470589,0.7537688442211057,0.7179682217714671
9,LOAD,AD PPT-Ohmnet,SVM Linear,0.71875,0.7355371900826446,0.8725490196078431,0.7982062780269059,0.6995436105476674
9,LOAD,AD PPT-Ohmnet,SVM RBF,0.71875,0.8,0.7450980392156863,0.7715736040609137,0.7057978363759296
9,LOAD,AD PPT-Ohmnet,Random Forest,0.7125,0.7413793103448276,0.8431372549019608,0.7889908256880734,0.7103617308992564
10,LOAD,AD PPT-Ohmnet,Logistic Regression,0.6918238993710691,0.7452830188679245,0.7821782178217822,0.7632850241545893,0.7171389552748378
10,LOAD,AD PPT-Ohmnet,SVM Linear,0.660377358490566,0.6942148760330579,0.8316831683168316,0.7567567567567568,0.7106520996927279
10,LOAD,AD PPT-Ohmnet,SVM RBF,0.6352201257861635,0.6352201257861635,1.0,0.7769230769230768,0.7625469443496073
10,LOAD,AD PPT-Ohmnet,Random Forest,0.6855345911949685,0.7217391304347827,0.8217821782178217,0.7685185185185185,0.6896551724137931
