fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET,AD PPT-Ohmnet no APOE,Logistic Regression,0.5205479452054794,0.5428571428571428,0.926829268292683,0.6846846846846847,0.4390243902439024
1,PET,AD PPT-Ohmnet no APOE,SVM Linear,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.5282012195121951
1,PET,AD PPT-Ohmnet no APOE,SVM RBF,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.5411585365853658
1,PET,AD PPT-Ohmnet no APOE,Random Forest,0.5342465753424658,0.5492957746478874,0.9512195121951219,0.6964285714285714,0.44207317073170727
2,PET,AD PPT-Ohmnet no APOE,Logistic Regression,0.5342465753424658,0.5492957746478874,0.9512195121951219,0.6964285714285714,0.3361280487804878
2,PET,AD PPT-Ohmnet no APOE,SVM Linear,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.5228658536585366
2,PET,AD PPT-Ohmnet no APOE,SVM RBF,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.6623475609756099
2,PET,AD PPT-Ohmnet no APOE,Random Forest,0.5205479452054794,0.5441176470588235,0.9024390243902439,0.6788990825688074,0.3422256097560976
3,PET,AD PPT-Ohmnet no APOE,Logistic Regression,0.5342465753424658,0.5492957746478874,0.9512195121951219,0.6964285714285714,0.49009146341463417
3,PET,AD PPT-Ohmnet no APOE,SVM Linear,0.5205479452054794,0.5428571428571428,0.926829268292683,0.6846846846846847,0.49771341463414637
3,PET,AD PPT-Ohmnet no APOE,SVM RBF,0.5205479452054794,0.5428571428571428,0.926829268292683,0.6846846846846847,0.586890243902439
3,PET,AD PPT-Ohmnet no APOE,Random Forest,0.5205479452054794,0.5428571428571428,0.926829268292683,0.6846846846846847,0.5411585365853658
4,PET,AD PPT-Ohmnet no APOE,Logistic Regression,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.5209603658536586
4,PET,AD PPT-Ohmnet no APOE,SVM Linear,0.5753424657534246,0.5694444444444444,1.0,0.7256637168141593,0.4660823170731707
4,PET,AD PPT-Ohmnet no APOE,SVM RBF,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.42949695121951226
4,PET,AD PPT-Ohmnet no APOE,Random Forest,0.589041095890411,0.5774647887323944,1.0,0.7321428571428571,0.5666920731707317
5,PET,AD PPT-Ohmnet no APOE,Logistic Regression,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.5876524390243902
5,PET,AD PPT-Ohmnet no APOE,SVM Linear,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.4401676829268293
5,PET,AD PPT-Ohmnet no APOE,SVM RBF,0.547945205479452,0.5555555555555556,0.975609756097561,0.7079646017699116,0.43178353658536583
5,PET,AD PPT-Ohmnet no APOE,Random Forest,0.547945205479452,0.5555555555555556,0.975609756097561,0.7079646017699116,0.5663109756097561
6,PET,AD PPT-Ohmnet no APOE,Logistic Regression,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.5167682926829269
6,PET,AD PPT-Ohmnet no APOE,SVM Linear,0.547945205479452,0.5555555555555556,0.975609756097561,0.7079646017699116,0.4557926829268293
6,PET,AD PPT-Ohmnet no APOE,SVM RBF,0.5616438356164384,0.5616438356164384,1.0,0.7192982456140351,0.47103658536585363
6,PET,AD PPT-Ohmnet no APOE,Random Forest,0.547945205479452,0.5555555555555556,0.975609756097561,0.7079646017699116,0.5175304878048781
7,PET,AD PPT-Ohmnet no APOE,Logistic Regression,0.5555555555555556,0.5633802816901409,0.975609756097561,0.7142857142857142,0.47049567269866244
7,PET,AD PPT-Ohmnet no APOE,SVM Linear,0.5694444444444444,0.5694444444444444,1.0,0.7256637168141593,0.5892997639653814
7,PET,AD PPT-Ohmnet no APOE,SVM RBF,0.5694444444444444,0.5694444444444444,1.0,0.7256637168141593,0.5507474429583006
7,PET,AD PPT-Ohmnet no APOE,Random Forest,0.5277777777777778,0.5507246376811594,0.926829268292683,0.6909090909090908,0.3745082612116444
8,PET,AD PPT-Ohmnet no APOE,Logistic Regression,0.5694444444444444,0.5694444444444444,1.0,0.7256637168141593,0.4421715184893784
8,PET,AD PPT-Ohmnet no APOE,SVM Linear,0.5694444444444444,0.5694444444444444,1.0,0.7256637168141593,0.4429583005507474
8,PET,AD PPT-Ohmnet no APOE,SVM RBF,0.5694444444444444,0.5714285714285714,0.975609756097561,0.7207207207207207,0.5452399685287175
