fold,target,dataset,model,acc,pre,rec,f1,auc
1,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.625,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157894
1,PETandDX,AD PPT-Ohmnet,SVM Linear,0.625,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7125506072874493
1,PETandDX,AD PPT-Ohmnet,SVM RBF,0.65625,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.7246963562753036
1,PETandDX,AD PPT-Ohmnet,Random Forest,0.6875,0.7142857142857143,0.7894736842105263,0.7500000000000001,0.6923076923076923
2,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.625,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6417004048582996
2,PETandDX,AD PPT-Ohmnet,SVM Linear,0.625,0.7333333333333333,0.5789473684210527,0.6470588235294117,0.714574898785425
2,PETandDX,AD PPT-Ohmnet,SVM RBF,0.65625,0.75,0.631578947368421,0.6857142857142857,0.7024291497975708
2,PETandDX,AD PPT-Ohmnet,Random Forest,0.625,0.7333333333333333,0.5789473684210527,0.6470588235294117,0.6578947368421053
3,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.59375,0.631578947368421,0.6666666666666666,0.6486486486486486,0.6527777777777778
3,PETandDX,AD PPT-Ohmnet,SVM Linear,0.6875,0.75,0.6666666666666666,0.7058823529411765,0.7242063492063492
3,PETandDX,AD PPT-Ohmnet,SVM RBF,0.6875,0.75,0.6666666666666666,0.7058823529411765,0.7242063492063492
3,PETandDX,AD PPT-Ohmnet,Random Forest,0.71875,0.8,0.6666666666666666,0.7272727272727272,0.7162698412698413
4,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.71875,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7559523809523809
4,PETandDX,AD PPT-Ohmnet,SVM Linear,0.6875,0.7,0.7777777777777778,0.7368421052631577,0.7162698412698413
4,PETandDX,AD PPT-Ohmnet,SVM RBF,0.6875,0.7,0.7777777777777778,0.7368421052631577,0.7162698412698413
4,PETandDX,AD PPT-Ohmnet,Random Forest,0.75,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7123015873015873
5,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.65625,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.7658730158730159
5,PETandDX,AD PPT-Ohmnet,SVM Linear,0.5625,0.5625,1.0,0.72,0.746031746031746
5,PETandDX,AD PPT-Ohmnet,SVM RBF,0.5625,0.5625,1.0,0.72,0.7539682539682541
5,PETandDX,AD PPT-Ohmnet,Random Forest,0.78125,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.8492063492063492
6,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.53125,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.5396825396825398
6,PETandDX,AD PPT-Ohmnet,SVM Linear,0.59375,0.6470588235294118,0.6111111111111112,0.6285714285714287,0.5674603174603174
6,PETandDX,AD PPT-Ohmnet,SVM RBF,0.59375,0.6470588235294118,0.6111111111111112,0.6285714285714287,0.5833333333333334
6,PETandDX,AD PPT-Ohmnet,Random Forest,0.625,0.6875,0.6111111111111112,0.6470588235294118,0.5476190476190476
7,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.8125,0.8,0.8888888888888888,0.8421052631578948,0.7698412698412698
7,PETandDX,AD PPT-Ohmnet,SVM Linear,0.75,0.75,0.8333333333333334,0.7894736842105262,0.761904761904762
7,PETandDX,AD PPT-Ohmnet,SVM RBF,0.78125,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.8174603174603174
7,PETandDX,AD PPT-Ohmnet,Random Forest,0.71875,0.7368421052631579,0.7777777777777778,0.7567567567567567,0.6706349206349207
8,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.7419354838709677,0.8125,0.7222222222222222,0.7647058823529411,0.7435897435897436
8,PETandDX,AD PPT-Ohmnet,SVM Linear,0.6774193548387096,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6324786324786325
8,PETandDX,AD PPT-Ohmnet,SVM RBF,0.7419354838709677,0.8125,0.7222222222222222,0.7647058823529411,0.6666666666666666
8,PETandDX,AD PPT-Ohmnet,Random Forest,0.6774193548387096,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6709401709401709
9,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.6774193548387096,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.6581196581196581
9,PETandDX,AD PPT-Ohmnet,SVM Linear,0.6774193548387096,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.7008547008547008
9,PETandDX,AD PPT-Ohmnet,SVM RBF,0.6774193548387096,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.6965811965811965
9,PETandDX,AD PPT-Ohmnet,Random Forest,0.6774193548387096,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.7478632478632479
10,PETandDX,AD PPT-Ohmnet,Logistic Regression,0.6451612903225806,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.6132478632478633
10,PETandDX,AD PPT-Ohmnet,SVM Linear,0.6451612903225806,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.5961538461538463
10,PETandDX,AD PPT-Ohmnet,SVM RBF,0.6451612903225806,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.638888888888889
10,PETandDX,AD PPT-Ohmnet,Random Forest,0.6774193548387096,0.6818181818181818,0.8333333333333334,0.7499999999999999,0.6688034188034189
