,acc,pre,rec,f1,auc,cm,fold,model
0,0.6438356164383562,0.6415094339622641,0.8292682926829268,0.723404255319149,0.6551067073170732,"[[13 19]
 [ 7 34]]",1,LogReg
1,0.6164383561643836,0.6065573770491803,0.9024390243902439,0.7254901960784315,0.668064024390244,"[[ 8 24]
 [ 4 37]]",1,SVM linear
2,0.6438356164383562,0.7027027027027027,0.6341463414634146,0.6666666666666667,0.6070884146341463,"[[21 11]
 [15 26]]",1,SVM rbf
3,0.6438356164383562,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6695884146341463,"[[19 13]
 [13 28]]",1,Random Forest
0,0.5342465753424658,0.5636363636363636,0.7560975609756098,0.6458333333333333,0.5522103658536586,"[[ 8 24]
 [10 31]]",2,LogReg
1,0.5205479452054794,0.5517241379310345,0.7804878048780488,0.6464646464646465,0.5948932926829268,"[[ 6 26]
 [ 9 32]]",2,SVM linear
2,0.6027397260273972,0.6363636363636364,0.6829268292682927,0.6588235294117647,0.5766006097560976,"[[16 16]
 [13 28]]",2,SVM rbf
3,0.6027397260273972,0.65,0.6341463414634146,0.6419753086419754,0.5857469512195123,"[[18 14]
 [15 26]]",2,Random Forest
0,0.5616438356164384,0.6363636363636364,0.5121951219512195,0.5675675675675675,0.5354420731707318,"[[20 12]
 [20 21]]",3,LogReg
1,0.5068493150684932,0.5384615384615384,0.8536585365853658,0.660377358490566,0.5457317073170731,"[[ 2 30]
 [ 6 35]]",3,SVM linear
2,0.5753424657534246,0.6470588235294118,0.5365853658536586,0.5866666666666668,0.6032774390243903,"[[20 12]
 [19 22]]",3,SVM rbf
3,0.5753424657534246,0.6470588235294118,0.5365853658536586,0.5866666666666668,0.5552591463414633,"[[20 12]
 [19 22]]",3,Random Forest
0,0.6712328767123288,0.7297297297297297,0.6585365853658537,0.6923076923076923,0.6974085365853658,"[[22 10]
 [14 27]]",4,LogReg
1,0.5616438356164384,0.5714285714285714,0.8780487804878049,0.6923076923076923,0.666920731707317,"[[ 5 27]
 [ 5 36]]",4,SVM linear
2,0.6712328767123288,0.7297297297297297,0.6585365853658537,0.6923076923076923,0.6989329268292683,"[[22 10]
 [14 27]]",4,SVM rbf
3,0.7123287671232876,0.8333333333333334,0.6097560975609756,0.7042253521126761,0.7751524390243902,"[[27  5]
 [16 25]]",4,Random Forest
0,0.6712328767123288,0.639344262295082,0.9512195121951219,0.7647058823529412,0.7625762195121951,"[[10 22]
 [ 2 39]]",5,LogReg
1,0.6712328767123288,0.639344262295082,0.9512195121951219,0.7647058823529412,0.7801067073170731,"[[10 22]
 [ 2 39]]",5,SVM linear
2,0.7397260273972602,0.75,0.8048780487804879,0.7764705882352942,0.7290396341463414,"[[21 11]
 [ 8 33]]",5,SVM rbf
3,0.726027397260274,0.723404255319149,0.8292682926829268,0.7727272727272727,0.758765243902439,"[[19 13]
 [ 7 34]]",5,Random Forest
0,0.6027397260273972,0.6875,0.5365853658536586,0.6027397260273972,0.6177591463414634,"[[22 10]
 [19 22]]",6,LogReg
1,0.5342465753424658,0.5897435897435898,0.5609756097560976,0.575,0.591844512195122,"[[16 16]
 [18 23]]",6,SVM linear
2,0.589041095890411,0.6774193548387096,0.5121951219512195,0.5833333333333334,0.5598323170731707,"[[22 10]
 [20 21]]",6,SVM rbf
3,0.5753424657534246,0.6666666666666666,0.4878048780487805,0.5633802816901409,0.6391006097560976,"[[22 10]
 [21 20]]",6,Random Forest
0,0.5972222222222222,0.5967741935483871,0.9024390243902439,0.7184466019417476,0.5837922895357986,"[[ 6 25]
 [ 4 37]]",7,LogReg
1,0.5833333333333334,0.5873015873015873,0.9024390243902439,0.7115384615384616,0.5515342250196695,"[[ 5 26]
 [ 4 37]]",7,SVM linear
2,0.5694444444444444,0.6136363636363636,0.6585365853658537,0.6352941176470588,0.5924468922108576,"[[14 17]
 [14 27]]",7,SVM rbf
3,0.5555555555555556,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.5405192761605035,"[[15 16]
 [16 25]]",7,Random Forest
0,0.5277777777777778,0.5614035087719298,0.7804878048780488,0.653061224489796,0.6353265145554681,"[[ 6 25]
 [ 9 32]]",8,LogReg
1,0.5555555555555556,0.576271186440678,0.8292682926829268,0.6799999999999999,0.6667977970102282,"[[ 6 25]
 [ 7 34]]",8,SVM linear
2,0.6527777777777778,0.75,0.5853658536585366,0.6575342465753423,0.6337529504327302,"[[23  8]
 [17 24]]",8,SVM rbf
3,0.625,0.6944444444444444,0.6097560975609756,0.6493506493506495,0.599921321793863,"[[20 11]
 [16 25]]",8,Random Forest
0,0.5555555555555556,0.6285714285714286,0.5365853658536586,0.5789473684210527,0.5708103855232101,"[[18 13]
 [19 22]]",9,LogReg
1,0.5416666666666666,0.5714285714285714,0.7804878048780488,0.6597938144329897,0.5782848151062155,"[[ 7 24]
 [ 9 32]]",9,SVM linear
2,0.5694444444444444,0.65625,0.5121951219512195,0.5753424657534246,0.5424862313139261,"[[20 11]
 [20 21]]",9,SVM rbf
3,0.5555555555555556,0.6451612903225806,0.4878048780487805,0.5555555555555556,0.6101494885916601,"[[20 11]
 [21 20]]",9,Random Forest
0,0.625,0.6458333333333334,0.7560975609756098,0.6966292134831461,0.6184107002360346,"[[14 17]
 [10 31]]",10,LogReg
1,0.5833333333333334,0.5846153846153846,0.926829268292683,0.7169811320754716,0.5759244689221087,"[[ 4 27]
 [ 3 38]]",10,SVM linear
2,0.6527777777777778,0.6739130434782609,0.7560975609756098,0.7126436781609194,0.6333595594020457,"[[16 15]
 [10 31]]",10,SVM rbf
3,0.6527777777777778,0.6739130434782609,0.7560975609756098,0.7126436781609194,0.6758457907159716,"[[16 15]
 [10 31]]",10,Random Forest
