fold,target,dataset,model,acc,pre,rec,f1,auc
1,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.6562,0.7501,0.6898,0.7161,0.6874
2,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.5437,0.4208,0.6667,0.5159,0.6456
3,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.6521,0.6735,0.9142,0.7667,0.6776
4,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.6312,0.7386,0.6436,0.6878,0.6759
5,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.6563,0.6817,0.8746,0.7618,0.5939
6,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.6167,0.6871,0.7451,0.7126,0.6284
7,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.6708,0.7328,0.7843,0.7494,0.675
8,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.7021,0.7699,0.7647,0.7649,0.705
9,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.7188,0.7438,0.8529,0.7945,0.7262
10,LOAD,AD PPT-Ohmnet,GNN GraphGym,0.675,0.7189,0.8449,0.7667,0.7176
