fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.5251,0.7077,0.6748,0.4954,0.5372
2,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.4886,0.3598,0.5691,0.4391,0.4423
3,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.5753,0.5781,0.935,0.7111,0.5993
4,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.5616,0.5616,1,0.7193,0.5587
5,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.4886,0.4372,0.3577,0.2842,0.6293
6,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.5616,0.5616,1,0.7193,0.5394
7,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.5509,0.5624,0.9431,0.7039,0.5764
8,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.537,0.5977,0.7317,0.5952,0.5056
9,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.5139,0.3787,0.6098,0.4663,0.5319
10,PET,AD PPT-Ohmnet no APOE,GNN GraphGym,0.5694,0.5694,1,0.7257,0.534
