fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET,AD_PPI_rewired1_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.7123
1,PET,AD_PPI_rewired2_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.6803
1,PET,AD_PPI_rewired3_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.707
1,PET,AD_PPI_rewired4_missense,GNN GraphGym,0.6118,0.626,0.8862,0.7185,0.7114
1,PET,AD_PPI_rewired5_missense,GNN GraphGym,0.6301,0.6652,0.691,0.6776,0.6885
1,PET,AD_PPI_rewired6_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.7396
1,PET,AD_PPI_rewired7_missense,GNN GraphGym,0.6621,0.712,0.7235,0.704,0.6932
1,PET,AD_PPI_rewired8_missense,GNN GraphGym,0.6118,0.6221,0.8862,0.7161,0.7147
1,PET,AD_PPI_rewired9_missense,GNN GraphGym,0.5525,0.424,0.5528,0.4676,0.7063
1,PET,AD_PPI_rewired10_missense,GNN GraphGym,0.6484,0.6891,0.7479,0.7034,0.7001
1,PET,AD_PPI_rewired11_missense,GNN GraphGym,0.6666,0.7258,0.6585,0.6895,0.6928
1,PET,AD_PPI_rewired12_missense,GNN GraphGym,0.6712,0.7179,0.6829,0.7,0.7037
1,PET,AD_PPI_rewired13_missense,GNN GraphGym,0.6392,0.688,0.6585,0.6725,0.6932
1,PET,AD_PPI_rewired14_missense,GNN GraphGym,0.6027,0.6189,0.8618,0.7066,0.7263
1,PET,AD_PPI_rewired15_missense,GNN GraphGym,0.6484,0.6921,0.6748,0.6831,0.7116
1,PET,AD_PPI_rewired16_missense,GNN GraphGym,0.6392,0.6805,0.7398,0.6951,0.7137
1,PET,AD_PPI_rewired17_missense,GNN GraphGym,0.6621,0.6994,0.7398,0.7073,0.7071
1,PET,AD_PPI_rewired18_missense,GNN GraphGym,0.6666,0.7237,0.6585,0.6894,0.7382
1,PET,AD_PPI_rewired19_missense,GNN GraphGym,0.6529,0.6889,0.6992,0.6937,0.7097
1,PET,AD_PPI_rewired20_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.7288
1,PET,AD_PPI_rewired21_missense,GNN GraphGym,0.6529,0.7092,0.6504,0.6781,0.695
1,PET,AD_PPI_rewired22_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6901
1,PET,AD_PPI_rewired23_missense,GNN GraphGym,0.6027,0.6189,0.8618,0.7066,0.6971
1,PET,AD_PPI_rewired24_missense,GNN GraphGym,0.6575,0.7038,0.6748,0.6886,0.7401
1,PET,AD_PPI_rewired25_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.701
1,PET,AD_PPI_rewired26_missense,GNN GraphGym,0.6666,0.7219,0.6666,0.6919,0.7208
1,PET,AD_PPI_rewired27_missense,GNN GraphGym,0.6484,0.6864,0.691,0.6882,0.6921
1,PET,AD_PPI_rewired28_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6997
1,PET,AD_PPI_rewired29_missense,GNN GraphGym,0.6529,0.6939,0.7317,0.7008,0.6988
1,PET,AD_PPI_rewired30_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6804
1,PET,AD_PPI_rewired31_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6881
1,PET,AD_PPI_rewired32_missense,GNN GraphGym,0.6255,0.6548,0.7642,0.6924,0.6933
1,PET,AD_PPI_rewired33_missense,GNN GraphGym,0.6347,0.6685,0.7479,0.6947,0.7074
1,PET,AD_PPI_rewired34_missense,GNN GraphGym,0.6392,0.6844,0.7317,0.6939,0.6977
1,PET,AD_PPI_rewired35_missense,GNN GraphGym,0.5753,0.557,0.4471,0.4705,0.6907
1,PET,AD_PPI_rewired36_missense,GNN GraphGym,0.6438,0.6759,0.7398,0.6975,0.7078
1,PET,AD_PPI_rewired37_missense,GNN GraphGym,0.6027,0.6333,0.7723,0.6819,0.7156
1,PET,AD_PPI_rewired38_missense,GNN GraphGym,0.6255,0.6501,0.7642,0.6943,0.6982
1,PET,AD_PPI_rewired39_missense,GNN GraphGym,0.6438,0.697,0.7561,0.702,0.7031
1,PET,AD_PPI_rewired40_missense,GNN GraphGym,0.6347,0.6685,0.7479,0.6947,0.7155
1,PET,AD_PPI_rewired41_missense,GNN GraphGym,0.6575,0.7152,0.6504,0.6809,0.713
1,PET,AD_PPI_rewired42_missense,GNN GraphGym,0.6347,0.6685,0.7479,0.6947,0.7036
1,PET,AD_PPI_rewired43_missense,GNN GraphGym,0.6438,0.6829,0.6829,0.6829,0.6864
1,PET,AD_PPI_rewired44_missense,GNN GraphGym,0.6484,0.6921,0.6748,0.6831,0.7319
1,PET,AD_PPI_rewired45_missense,GNN GraphGym,0.6575,0.6972,0.691,0.6937,0.7114
1,PET,AD_PPI_rewired46_missense,GNN GraphGym,0.6484,0.706,0.6504,0.6758,0.7053
1,PET,AD_PPI_rewired47_missense,GNN GraphGym,0.5936,0.6119,0.8618,0.6987,0.6803
1,PET,AD_PPI_rewired48_missense,GNN GraphGym,0.6255,0.6609,0.7723,0.6954,0.6982
1,PET,AD_PPI_rewired49_missense,GNN GraphGym,0.6529,0.688,0.6992,0.6935,0.6955
1,PET,AD_PPI_rewired50_missense,GNN GraphGym,0.6255,0.6501,0.7642,0.6943,0.7034
1,PET,AD_PPI_rewired51_missense,GNN GraphGym,0.6621,0.713,0.6666,0.689,0.6909
1,PET,AD_PPI_rewired52_missense,GNN GraphGym,0.6438,0.6866,0.7398,0.6979,0.6928
1,PET,AD_PPI_rewired53_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.7038
1,PET,AD_PPI_rewired54_missense,GNN GraphGym,0.6347,0.6619,0.7642,0.6998,0.7129
1,PET,AD_PPI_rewired55_missense,GNN GraphGym,0.621,0.6443,0.8455,0.7127,0.7104
1,PET,AD_PPI_rewired56_missense,GNN GraphGym,0.6347,0.6669,0.7642,0.6981,0.7215
1,PET,AD_PPI_rewired57_missense,GNN GraphGym,0.6438,0.6866,0.7398,0.6979,0.7288
1,PET,AD_PPI_rewired58_missense,GNN GraphGym,0.6347,0.6641,0.7723,0.7008,0.7034
1,PET,AD_PPI_rewired59_missense,GNN GraphGym,0.6347,0.683,0.6585,0.67,0.691
1,PET,AD_PPI_rewired60_missense,GNN GraphGym,0.6438,0.685,0.7561,0.7014,0.7123
1,PET,AD_PPI_rewired61_missense,GNN GraphGym,0.6347,0.6685,0.7479,0.6947,0.711
1,PET,AD_PPI_rewired62_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.6795
1,PET,AD_PPI_rewired63_missense,GNN GraphGym,0.6575,0.7077,0.6666,0.6862,0.6799
1,PET,AD_PPI_rewired64_missense,GNN GraphGym,0.6712,0.7179,0.6829,0.7,0.719
1,PET,AD_PPI_rewired65_missense,GNN GraphGym,0.6575,0.7035,0.6748,0.6888,0.7133
