fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET,AD_PPI_shuffled1_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.7123
1,PET,AD_PPI_shuffled2_missense,GNN GraphGym,0.6529,0.7191,0.6422,0.6765,0.6833
1,PET,AD_PPI_shuffled3_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.7031
1,PET,AD_PPI_shuffled4_missense,GNN GraphGym,0.6255,0.6609,0.7723,0.6954,0.7049
1,PET,AD_PPI_shuffled5_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.6879
1,PET,AD_PPI_shuffled6_missense,GNN GraphGym,0.6255,0.6609,0.7723,0.6954,0.7387
1,PET,AD_PPI_shuffled7_missense,GNN GraphGym,0.621,0.6339,0.8292,0.7087,0.6968
1,PET,AD_PPI_shuffled8_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.7125
1,PET,AD_PPI_shuffled9_missense,GNN GraphGym,0.5799,0.5753,0.9675,0.7212,0.7028
1,PET,AD_PPI_shuffled10_missense,GNN GraphGym,0.6347,0.6669,0.7642,0.6981,0.7143
1,PET,AD_PPI_shuffled11_missense,GNN GraphGym,0.6621,0.7141,0.6666,0.6892,0.7053
1,PET,AD_PPI_shuffled12_missense,GNN GraphGym,0.6712,0.7179,0.6829,0.7,0.7039
1,PET,AD_PPI_shuffled13_missense,GNN GraphGym,0.6392,0.688,0.6585,0.6725,0.6953
1,PET,AD_PPI_shuffled14_missense,GNN GraphGym,0.6255,0.6609,0.7723,0.6954,0.7117
1,PET,AD_PPI_shuffled15_missense,GNN GraphGym,0.6529,0.6682,0.8211,0.7238,0.7118
1,PET,AD_PPI_shuffled16_missense,GNN GraphGym,0.6529,0.7092,0.6504,0.6781,0.7153
1,PET,AD_PPI_shuffled17_missense,GNN GraphGym,0.6347,0.6658,0.7886,0.7064,0.7047
1,PET,AD_PPI_shuffled18_missense,GNN GraphGym,0.6712,0.731,0.6585,0.6923,0.7241
1,PET,AD_PPI_shuffled19_missense,GNN GraphGym,0.6438,0.6744,0.7073,0.6905,0.7097
1,PET,AD_PPI_shuffled20_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.7128
1,PET,AD_PPI_shuffled21_missense,GNN GraphGym,0.6164,0.6487,0.7723,0.6898,0.6936
1,PET,AD_PPI_shuffled22_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6913
1,PET,AD_PPI_shuffled23_missense,GNN GraphGym,0.6073,0.6383,0.7723,0.6845,0.6992
1,PET,AD_PPI_shuffled24_missense,GNN GraphGym,0.6575,0.7038,0.6748,0.6886,0.7369
1,PET,AD_PPI_shuffled25_missense,GNN GraphGym,0.6529,0.7047,0.7317,0.7012,0.7152
1,PET,AD_PPI_shuffled26_missense,GNN GraphGym,0.6529,0.7013,0.6666,0.6833,0.7159
1,PET,AD_PPI_shuffled27_missense,GNN GraphGym,0.6529,0.6851,0.7073,0.696,0.6998
1,PET,AD_PPI_shuffled28_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6945
1,PET,AD_PPI_shuffled29_missense,GNN GraphGym,0.6529,0.6939,0.7317,0.7008,0.7029
1,PET,AD_PPI_shuffled30_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6862
1,PET,AD_PPI_shuffled31_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6879
1,PET,AD_PPI_shuffled32_missense,GNN GraphGym,0.6484,0.6959,0.6666,0.6806,0.7071
1,PET,AD_PPI_shuffled33_missense,GNN GraphGym,0.6529,0.6939,0.7317,0.7008,0.7218
1,PET,AD_PPI_shuffled34_missense,GNN GraphGym,0.6027,0.6189,0.8618,0.7066,0.6954
1,PET,AD_PPI_shuffled35_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.705
1,PET,AD_PPI_shuffled36_missense,GNN GraphGym,0.6712,0.731,0.6585,0.6923,0.6994
1,PET,AD_PPI_shuffled37_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6999
1,PET,AD_PPI_shuffled38_missense,GNN GraphGym,0.6484,0.6921,0.6748,0.6831,0.6886
1,PET,AD_PPI_shuffled39_missense,GNN GraphGym,0.6529,0.7044,0.6585,0.6807,0.6996
1,PET,AD_PPI_shuffled40_missense,GNN GraphGym,0.6575,0.7038,0.6748,0.6886,0.7053
1,PET,AD_PPI_shuffled41_missense,GNN GraphGym,0.6666,0.7333,0.6422,0.6842,0.7132
1,PET,AD_PPI_shuffled42_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.6965
1,PET,AD_PPI_shuffled43_missense,GNN GraphGym,0.6484,0.6921,0.6748,0.6831,0.6893
1,PET,AD_PPI_shuffled44_missense,GNN GraphGym,0.6529,0.7013,0.6666,0.6833,0.7316
1,PET,AD_PPI_shuffled45_missense,GNN GraphGym,0.6484,0.6874,0.7642,0.7069,0.718
1,PET,AD_PPI_shuffled46_missense,GNN GraphGym,0.6438,0.685,0.7561,0.7014,0.7069
1,PET,AD_PPI_shuffled47_missense,GNN GraphGym,0.6255,0.6609,0.7723,0.6954,0.6895
1,PET,AD_PPI_shuffled48_missense,GNN GraphGym,0.5936,0.604,0.8374,0.6949,0.7131
1,PET,AD_PPI_shuffled49_missense,GNN GraphGym,0.6575,0.6905,0.7073,0.6988,0.6895
1,PET,AD_PPI_shuffled50_missense,GNN GraphGym,0.6438,0.6829,0.6829,0.6829,0.7062
1,PET,AD_PPI_shuffled51_missense,GNN GraphGym,0.5936,0.6112,0.8862,0.7074,0.7147
1,PET,AD_PPI_shuffled52_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6854
1,PET,AD_PPI_shuffled53_missense,GNN GraphGym,0.6347,0.6669,0.7642,0.6981,0.7062
1,PET,AD_PPI_shuffled54_missense,GNN GraphGym,0.6164,0.6418,0.7642,0.6891,0.6997
1,PET,AD_PPI_shuffled55_missense,GNN GraphGym,0.6438,0.6839,0.6829,0.6829,0.7133
1,PET,AD_PPI_shuffled56_missense,GNN GraphGym,0.6666,0.7237,0.6585,0.6894,0.718
1,PET,AD_PPI_shuffled57_missense,GNN GraphGym,0.6529,0.6939,0.7317,0.7008,0.7245
1,PET,AD_PPI_shuffled58_missense,GNN GraphGym,0.6529,0.6985,0.6748,0.686,0.7157
1,PET,AD_PPI_shuffled59_missense,GNN GraphGym,0.6301,0.6556,0.7317,0.6842,0.7077
1,PET,AD_PPI_shuffled60_missense,GNN GraphGym,0.6027,0.6189,0.8618,0.7066,0.6996
1,PET,AD_PPI_shuffled61_missense,GNN GraphGym,0.6347,0.6685,0.7479,0.6947,0.7133
1,PET,AD_PPI_shuffled62_missense,GNN GraphGym,0.6438,0.685,0.7561,0.7014,0.7007
1,PET,AD_PPI_shuffled63_missense,GNN GraphGym,0.6347,0.6789,0.7642,0.6987,0.6931
1,PET,AD_PPI_shuffled64_missense,GNN GraphGym,0.6666,0.7154,0.6748,0.6945,0.7071
1,PET,AD_PPI_shuffled65_missense,GNN GraphGym,0.6575,0.7035,0.6748,0.6888,0.705
1,PET,AD_PPI_shuffled66_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.7026
1,PET,AD_PPI_shuffled67_missense,GNN GraphGym,0.6347,0.6685,0.7479,0.6947,0.7044
1,PET,AD_PPI_shuffled68_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6981
1,PET,AD_PPI_shuffled69_missense,GNN GraphGym,0.6712,0.7308,0.6585,0.6925,0.7126
1,PET,AD_PPI_shuffled70_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.695
1,PET,AD_PPI_shuffled71_missense,GNN GraphGym,0.6529,0.6984,0.6748,0.6861,0.7004
1,PET,AD_PPI_shuffled72_missense,GNN GraphGym,0.6621,0.712,0.7235,0.704,0.7189
1,PET,AD_PPI_shuffled73_missense,GNN GraphGym,0.6347,0.6789,0.7642,0.6987,0.7117
1,PET,AD_PPI_shuffled74_missense,GNN GraphGym,0.6118,0.6231,0.8455,0.7085,0.719
1,PET,AD_PPI_shuffled75_missense,GNN GraphGym,0.621,0.6339,0.8292,0.7087,0.7117
1,PET,AD_PPI_shuffled76_missense,GNN GraphGym,0.6575,0.7038,0.6748,0.6886,0.7074
1,PET,AD_PPI_shuffled77_missense,GNN GraphGym,0.6621,0.6996,0.6992,0.6992,0.7013
1,PET,AD_PPI_shuffled78_missense,GNN GraphGym,0.6347,0.6789,0.7642,0.6987,0.7079
1,PET,AD_PPI_shuffled79_missense,GNN GraphGym,0.6438,0.697,0.7561,0.702,0.735
1,PET,AD_PPI_shuffled80_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6971
1,PET,AD_PPI_shuffled81_missense,GNN GraphGym,0.6438,0.6751,0.7479,0.7006,0.7209
1,PET,AD_PPI_shuffled82_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.7081
1,PET,AD_PPI_shuffled83_missense,GNN GraphGym,0.6529,0.6985,0.6748,0.686,0.6715
1,PET,AD_PPI_shuffled84_missense,GNN GraphGym,0.6666,0.7321,0.6422,0.684,0.7133
1,PET,AD_PPI_shuffled85_missense,GNN GraphGym,0.6529,0.7044,0.6585,0.6807,0.6849
1,PET,AD_PPI_shuffled86_missense,GNN GraphGym,0.6484,0.6854,0.691,0.6882,0.7327
1,PET,AD_PPI_shuffled87_missense,GNN GraphGym,0.6758,0.7414,0.6504,0.6926,0.7023
1,PET,AD_PPI_shuffled88_missense,GNN GraphGym,0.6255,0.6559,0.7317,0.6832,0.6936
1,PET,AD_PPI_shuffled89_missense,GNN GraphGym,0.6484,0.6829,0.6992,0.6908,0.7088
1,PET,AD_PPI_shuffled90_missense,GNN GraphGym,0.6392,0.6667,0.7479,0.6973,0.7147
1,PET,AD_PPI_shuffled91_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.7434
1,PET,AD_PPI_shuffled92_missense,GNN GraphGym,0.6073,0.6383,0.7723,0.6845,0.7109
1,PET,AD_PPI_shuffled93_missense,GNN GraphGym,0.6164,0.6458,0.7642,0.6875,0.6949
1,PET,AD_PPI_shuffled94_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6883
1,PET,AD_PPI_shuffled95_missense,GNN GraphGym,0.6621,0.712,0.7235,0.704,0.726
1,PET,AD_PPI_shuffled96_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.7121
1,PET,AD_PPI_shuffled97_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.7176
1,PET,AD_PPI_shuffled98_missense,GNN GraphGym,0.6529,0.6939,0.7317,0.7008,0.6857
1,PET,AD_PPI_shuffled99_missense,GNN GraphGym,0.6027,0.6297,0.7886,0.6873,0.7042
1,PET,AD_PPI_shuffled100_missense,GNN GraphGym,0.6666,0.7417,0.626,0.6781,0.7223
2,PET,AD_PPI_shuffled1_missense,GNN GraphGym,0.6392,0.6896,0.6504,0.6694,0.6514
2,PET,AD_PPI_shuffled2_missense,GNN GraphGym,0.6118,0.636,0.7805,0.69,0.6599
2,PET,AD_PPI_shuffled3_missense,GNN GraphGym,0.6164,0.6499,0.7561,0.6864,0.6723
2,PET,AD_PPI_shuffled4_missense,GNN GraphGym,0.6301,0.6699,0.6829,0.6747,0.6605
2,PET,AD_PPI_shuffled5_missense,GNN GraphGym,0.6392,0.6865,0.6585,0.6722,0.6448
2,PET,AD_PPI_shuffled6_missense,GNN GraphGym,0.6347,0.6676,0.7154,0.6861,0.6689
2,PET,AD_PPI_shuffled7_missense,GNN GraphGym,0.6027,0.614,0.878,0.7094,0.6511
2,PET,AD_PPI_shuffled8_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6719
2,PET,AD_PPI_shuffled9_missense,GNN GraphGym,0.6347,0.6752,0.6748,0.6748,0.6474
2,PET,AD_PPI_shuffled10_missense,GNN GraphGym,0.5936,0.7974,0.4715,0.5009,0.6832
2,PET,AD_PPI_shuffled11_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.643
