fold,target,dataset,model,acc,pre,rec,f1,auc
1,PETandDX,AD_PPI_rewired1_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7395
1,PETandDX,AD_PPI_rewired2_missense,GNN GraphGym,0.6979,0.7407,0.7544,0.747,0.6977
1,PETandDX,AD_PPI_rewired3_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.6971
1,PETandDX,AD_PPI_rewired4_missense,GNN GraphGym,0.6563,0.7005,0.7895,0.7312,0.7267
1,PETandDX,AD_PPI_rewired5_missense,GNN GraphGym,0.6875,0.7456,0.7193,0.7306,0.718
1,PETandDX,AD_PPI_rewired6_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7449
1,PETandDX,AD_PPI_rewired7_missense,GNN GraphGym,0.7084,0.7456,0.7719,0.7584,0.7011
1,PETandDX,AD_PPI_rewired8_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7294
1,PETandDX,AD_PPI_rewired9_missense,GNN GraphGym,0.6563,0.6912,0.807,0.7361,0.7335
1,PETandDX,AD_PPI_rewired10_missense,GNN GraphGym,0.6562,0.7222,0.6842,0.7027,0.718
1,PETandDX,AD_PPI_rewired11_missense,GNN GraphGym,0.6666,0.7364,0.6842,0.7092,0.7274
1,PETandDX,AD_PPI_rewired12_missense,GNN GraphGym,0.6875,0.7154,0.7895,0.7503,0.7267
1,PETandDX,AD_PPI_rewired13_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.6964
1,PETandDX,AD_PPI_rewired14_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7375
1,PETandDX,AD_PPI_rewired15_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7328
1,PETandDX,AD_PPI_rewired16_missense,GNN GraphGym,0.6667,0.7138,0.7544,0.7288,0.6835
1,PETandDX,AD_PPI_rewired17_missense,GNN GraphGym,0.7188,0.75,0.7895,0.7692,0.7517
1,PETandDX,AD_PPI_rewired18_missense,GNN GraphGym,0.7084,0.7381,0.7895,0.7628,0.7355
1,PETandDX,AD_PPI_rewired19_missense,GNN GraphGym,0.6875,0.7143,0.7895,0.75,0.747
1,PETandDX,AD_PPI_rewired20_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7375
1,PETandDX,AD_PPI_rewired21_missense,GNN GraphGym,0.6563,0.7922,0.5965,0.6592,0.6727
1,PETandDX,AD_PPI_rewired22_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7301
1,PETandDX,AD_PPI_rewired23_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.724
1,PETandDX,AD_PPI_rewired24_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7308
1,PETandDX,AD_PPI_rewired25_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7247
1,PETandDX,AD_PPI_rewired26_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7382
1,PETandDX,AD_PPI_rewired27_missense,GNN GraphGym,0.6771,0.7167,0.7544,0.735,0.7112
1,PETandDX,AD_PPI_rewired28_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.722
1,PETandDX,AD_PPI_rewired29_missense,GNN GraphGym,0.6666,0.729,0.7017,0.7143,0.7328
1,PETandDX,AD_PPI_rewired30_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7024
1,PETandDX,AD_PPI_rewired31_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7186
1,PETandDX,AD_PPI_rewired32_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7287
1,PETandDX,AD_PPI_rewired33_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7436
1,PETandDX,AD_PPI_rewired34_missense,GNN GraphGym,0.6771,0.7505,0.6842,0.7149,0.7186
1,PETandDX,AD_PPI_rewired35_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.722
1,PETandDX,AD_PPI_rewired36_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.697
1,PETandDX,AD_PPI_rewired37_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7233
1,PETandDX,AD_PPI_rewired38_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7058
