fold,target,dataset,model,acc,pre,rec,f1,auc
1,PETandDX,AD_PPI_shuffled1_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.749
1,PETandDX,AD_PPI_shuffled2_missense,GNN GraphGym,0.6979,0.75,0.7368,0.7429,0.6971
1,PETandDX,AD_PPI_shuffled3_missense,GNN GraphGym,0.6667,0.7104,0.7719,0.7327,0.7018
1,PETandDX,AD_PPI_shuffled4_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7254
1,PETandDX,AD_PPI_shuffled5_missense,GNN GraphGym,0.6771,0.7371,0.7193,0.7254,0.7112
1,PETandDX,AD_PPI_shuffled6_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.753
1,PETandDX,AD_PPI_shuffled7_missense,GNN GraphGym,0.6979,0.7523,0.7368,0.743,0.6795
1,PETandDX,AD_PPI_shuffled8_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7375
1,PETandDX,AD_PPI_shuffled9_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7254
1,PETandDX,AD_PPI_shuffled10_missense,GNN GraphGym,0.6562,0.7315,0.6667,0.697,0.726
1,PETandDX,AD_PPI_shuffled11_missense,GNN GraphGym,0.625,0.6415,0.9123,0.7423,0.7247
1,PETandDX,AD_PPI_shuffled12_missense,GNN GraphGym,0.7084,0.7381,0.7895,0.7628,0.7267
1,PETandDX,AD_PPI_shuffled13_missense,GNN GraphGym,0.6563,0.7005,0.7895,0.7312,0.6991
1,PETandDX,AD_PPI_shuffled14_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7308
1,PETandDX,AD_PPI_shuffled15_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7233
1,PETandDX,AD_PPI_shuffled16_missense,GNN GraphGym,0.5313,0.4,0.6316,0.4898,0.6781
1,PETandDX,AD_PPI_shuffled17_missense,GNN GraphGym,0.7188,0.75,0.7895,0.7692,0.7463
1,PETandDX,AD_PPI_shuffled18_missense,GNN GraphGym,0.6979,0.7337,0.7719,0.752,0.7355
1,PETandDX,AD_PPI_shuffled19_missense,GNN GraphGym,0.6875,0.7293,0.7544,0.7412,0.747
1,PETandDX,AD_PPI_shuffled20_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.724
1,PETandDX,AD_PPI_shuffled21_missense,GNN GraphGym,0.5729,0.4678,0.4912,0.4789,0.664
1,PETandDX,AD_PPI_shuffled22_missense,GNN GraphGym,0.6875,0.7386,0.7368,0.7363,0.7355
1,PETandDX,AD_PPI_shuffled23_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7267
1,PETandDX,AD_PPI_shuffled24_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7402
1,PETandDX,AD_PPI_shuffled25_missense,GNN GraphGym,0.6667,0.7286,0.7017,0.7144,0.7233
1,PETandDX,AD_PPI_shuffled26_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7476
1,PETandDX,AD_PPI_shuffled27_missense,GNN GraphGym,0.6666,0.6926,0.7895,0.7378,0.6977
1,PETandDX,AD_PPI_shuffled28_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7072
1,PETandDX,AD_PPI_shuffled29_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7335
1,PETandDX,AD_PPI_shuffled30_missense,GNN GraphGym,0.6563,0.6891,0.8245,0.7396,0.6883
1,PETandDX,AD_PPI_shuffled31_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.6916
1,PETandDX,AD_PPI_shuffled32_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.726
1,PETandDX,AD_PPI_shuffled33_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7449
1,PETandDX,AD_PPI_shuffled34_missense,GNN GraphGym,0.6771,0.7412,0.7017,0.7206,0.7314
1,PETandDX,AD_PPI_shuffled35_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7341
1,PETandDX,AD_PPI_shuffled36_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.6943
1,PETandDX,AD_PPI_shuffled37_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7206
1,PETandDX,AD_PPI_shuffled38_missense,GNN GraphGym,0.625,0.6528,0.8772,0.734,0.7112
1,PETandDX,AD_PPI_shuffled39_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.722
1,PETandDX,AD_PPI_shuffled40_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7254
1,PETandDX,AD_PPI_shuffled41_missense,GNN GraphGym,0.6562,0.7074,0.7193,0.7128,0.6741
1,PETandDX,AD_PPI_shuffled42_missense,GNN GraphGym,0.6563,0.6984,0.807,0.7347,0.695
1,PETandDX,AD_PPI_shuffled43_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7045
1,PETandDX,AD_PPI_shuffled44_missense,GNN GraphGym,0.6563,0.7005,0.7895,0.7312,0.7119
1,PETandDX,AD_PPI_shuffled45_missense,GNN GraphGym,0.7188,0.7685,0.7544,0.7609,0.7476
1,PETandDX,AD_PPI_shuffled46_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7193
1,PETandDX,AD_PPI_shuffled47_missense,GNN GraphGym,0.5313,0.5646,0.6667,0.525,0.695
1,PETandDX,AD_PPI_shuffled48_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.722
1,PETandDX,AD_PPI_shuffled49_missense,GNN GraphGym,0.7084,0.7474,0.7719,0.7587,0.7287
1,PETandDX,AD_PPI_shuffled50_missense,GNN GraphGym,0.6666,0.7197,0.7193,0.7191,0.6957
1,PETandDX,AD_PPI_shuffled51_missense,GNN GraphGym,0.6979,0.7505,0.7368,0.7427,0.726
1,PETandDX,AD_PPI_shuffled52_missense,GNN GraphGym,0.6458,0.7095,0.6842,0.6965,0.6863
1,PETandDX,AD_PPI_shuffled53_missense,GNN GraphGym,0.6771,0.7319,0.7193,0.7254,0.7267
1,PETandDX,AD_PPI_shuffled54_missense,GNN GraphGym,0.6562,0.7241,0.6842,0.7021,0.7004
1,PETandDX,AD_PPI_shuffled55_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7409
1,PETandDX,AD_PPI_shuffled56_missense,GNN GraphGym,0.6667,0.7231,0.7368,0.7239,0.726
1,PETandDX,AD_PPI_shuffled57_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7247
1,PETandDX,AD_PPI_shuffled58_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7449
1,PETandDX,AD_PPI_shuffled59_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.72
1,PETandDX,AD_PPI_shuffled60_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7065
1,PETandDX,AD_PPI_shuffled61_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7247
1,PETandDX,AD_PPI_shuffled62_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7058
1,PETandDX,AD_PPI_shuffled63_missense,GNN GraphGym,0.6771,0.7338,0.7193,0.7256,0.7004
1,PETandDX,AD_PPI_shuffled64_missense,GNN GraphGym,0.6562,0.7,0.7368,0.7179,0.7254
1,PETandDX,AD_PPI_shuffled65_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7227
1,PETandDX,AD_PPI_shuffled66_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7409
1,PETandDX,AD_PPI_shuffled67_missense,GNN GraphGym,0.6666,0.7364,0.6842,0.7092,0.7112
1,PETandDX,AD_PPI_shuffled68_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.6862
1,PETandDX,AD_PPI_shuffled69_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7233
1,PETandDX,AD_PPI_shuffled70_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7024
1,PETandDX,AD_PPI_shuffled71_missense,GNN GraphGym,0.7188,0.7593,0.7719,0.7651,0.7571
1,PETandDX,AD_PPI_shuffled72_missense,GNN GraphGym,0.6562,0.7315,0.6667,0.697,0.7166
1,PETandDX,AD_PPI_shuffled73_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7294
1,PETandDX,AD_PPI_shuffled74_missense,GNN GraphGym,0.6771,0.7245,0.7368,0.7305,0.7274
1,PETandDX,AD_PPI_shuffled75_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7341
1,PETandDX,AD_PPI_shuffled76_missense,GNN GraphGym,0.6771,0.7319,0.7193,0.7254,0.722
1,PETandDX,AD_PPI_shuffled77_missense,GNN GraphGym,0.7084,0.7642,0.7368,0.7494,0.7409
1,PETandDX,AD_PPI_shuffled78_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7132
1,PETandDX,AD_PPI_shuffled79_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7038
1,PETandDX,AD_PPI_shuffled80_missense,GNN GraphGym,0.6563,0.6984,0.807,0.7347,0.722
1,PETandDX,AD_PPI_shuffled81_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.722
1,PETandDX,AD_PPI_shuffled82_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7449
1,PETandDX,AD_PPI_shuffled83_missense,GNN GraphGym,0.5938,0.5979,0.9649,0.7382,0.6768
1,PETandDX,AD_PPI_shuffled84_missense,GNN GraphGym,0.6458,0.6874,0.7544,0.716,0.7233
1,PETandDX,AD_PPI_shuffled85_missense,GNN GraphGym,0.6771,0.7245,0.7368,0.7305,0.7004
1,PETandDX,AD_PPI_shuffled86_missense,GNN GraphGym,0.6771,0.7412,0.7017,0.7206,0.7301
1,PETandDX,AD_PPI_shuffled87_missense,GNN GraphGym,0.6666,0.729,0.7017,0.7143,0.7179
1,PETandDX,AD_PPI_shuffled88_missense,GNN GraphGym,0.6667,0.7142,0.7895,0.7379,0.6856
1,PETandDX,AD_PPI_shuffled89_missense,GNN GraphGym,0.6563,0.6912,0.807,0.7361,0.7139
1,PETandDX,AD_PPI_shuffled90_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7416
1,PETandDX,AD_PPI_shuffled91_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7314
1,PETandDX,AD_PPI_shuffled92_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7159
1,PETandDX,AD_PPI_shuffled93_missense,GNN GraphGym,0.6771,0.7412,0.7017,0.7206,0.6957
1,PETandDX,AD_PPI_shuffled94_missense,GNN GraphGym,0.6875,0.7647,0.6842,0.7222,0.6991
1,PETandDX,AD_PPI_shuffled95_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7045
1,PETandDX,AD_PPI_shuffled96_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7206
1,PETandDX,AD_PPI_shuffled97_missense,GNN GraphGym,0.7188,0.7593,0.7719,0.7651,0.7517
1,PETandDX,AD_PPI_shuffled98_missense,GNN GraphGym,0.5313,0.4,0.6316,0.4898,0.7132
1,PETandDX,AD_PPI_shuffled99_missense,GNN GraphGym,0.7084,0.7456,0.7719,0.7584,0.7503
1,PETandDX,AD_PPI_shuffled100_missense,GNN GraphGym,0.6771,0.7505,0.6842,0.7149,0.7287
2,PETandDX,AD_PPI_shuffled1_missense,GNN GraphGym,0.6666,0.7549,0.6491,0.6979,0.6835
2,PETandDX,AD_PPI_shuffled2_missense,GNN GraphGym,0.5,0.8667,0.3684,0.3417,0.697
2,PETandDX,AD_PPI_shuffled3_missense,GNN GraphGym,0.6354,0.6895,0.7017,0.6954,0.608
2,PETandDX,AD_PPI_shuffled4_missense,GNN GraphGym,0.4792,0.5313,0.3509,0.2817,0.6046
2,PETandDX,AD_PPI_shuffled5_missense,GNN GraphGym,0.6354,0.6895,0.7017,0.6954,0.6322
2,PETandDX,AD_PPI_shuffled6_missense,GNN GraphGym,0.5938,0.6875,0.5789,0.6286,0.6404
2,PETandDX,AD_PPI_shuffled7_missense,GNN GraphGym,0.6146,0.6613,0.7719,0.6987,0.614
2,PETandDX,AD_PPI_shuffled8_missense,GNN GraphGym,0.5833,0.8,0.5087,0.5119,0.6275
2,PETandDX,AD_PPI_shuffled9_missense,GNN GraphGym,0.5312,0.7667,0.421,0.4491,0.5938
2,PETandDX,AD_PPI_shuffled10_missense,GNN GraphGym,0.6042,0.6936,0.5965,0.6413,0.6296
2,PETandDX,AD_PPI_shuffled11_missense,GNN GraphGym,0.6667,0.7043,0.7544,0.7281,0.6235
