fold,target,dataset,model,acc,pre,rec,f1,auc
1,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.5625,0.5806451612903226,0.9473684210526315,0.72,0.47773279352226716
1,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.5625,0.5806451612903226,0.9473684210526315,0.72,0.4979757085020242
1,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.5625,0.5806451612903226,0.9473684210526315,0.72,0.5384615384615383
1,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.5625,0.5806451612903226,0.9473684210526315,0.72,0.5263157894736842
2,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.59375,0.6,0.9473684210526315,0.7346938775510204,0.3744939271255061
2,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.5625,0.5862068965517241,0.8947368421052632,0.7083333333333333,0.6214574898785424
2,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.59375,0.6,0.9473684210526315,0.7346938775510204,0.6214574898785424
2,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.59375,0.6,0.9473684210526315,0.7346938775510204,0.3825910931174089
3,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.59375,0.5806451612903226,1.0,0.7346938775510204,0.41071428571428564
3,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.53125,0.5483870967741935,0.9444444444444444,0.6938775510204082,0.4107142857142857
3,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.5625,0.5625,1.0,0.72,0.628968253968254
3,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.53125,0.5483870967741935,0.9444444444444444,0.6938775510204082,0.371031746031746
4,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.53125,0.5517241379310345,0.8888888888888888,0.6808510638297872,0.4285714285714286
4,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.53125,0.5517241379310345,0.8888888888888888,0.6808510638297872,0.4682539682539683
4,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.5625,0.5625,1.0,0.72,0.5476190476190477
4,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.5625,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.49206349206349204
5,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.5625,0.5625,1.0,0.72,0.3492063492063492
5,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.5625,0.5625,1.0,0.72,0.34523809523809523
5,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.59375,0.5806451612903226,1.0,0.7346938775510204,0.5873015873015872
5,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.59375,0.5806451612903226,1.0,0.7346938775510204,0.6388888888888888
6,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.53125,0.5483870967741935,0.9444444444444444,0.6938775510204082,0.5357142857142857
6,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.5625,0.5625,1.0,0.72,0.369047619047619
6,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.5625,0.5625,1.0,0.72,0.492063492063492
6,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.59375,0.5862068965517241,0.9444444444444444,0.7234042553191489,0.626984126984127
7,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.53125,0.5517241379310345,0.8888888888888888,0.6808510638297872,0.4107142857142857
7,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.53125,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.617063492063492
7,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.53125,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5376984126984126
7,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.5,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.4662698412698412
8,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.5806451612903226,0.5806451612903226,1.0,0.7346938775510204,0.3952991452991453
8,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.5806451612903226,0.5806451612903226,1.0,0.7346938775510204,0.4636752136752137
8,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.5806451612903226,0.5806451612903226,1.0,0.7346938775510204,0.5192307692307692
8,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.5806451612903226,0.5806451612903226,1.0,0.7346938775510204,0.5021367521367521
9,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.5806451612903226,0.5806451612903226,1.0,0.7346938775510204,0.46153846153846156
9,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.5806451612903226,0.5925925925925926,0.8888888888888888,0.711111111111111,0.44017094017094016
9,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.5806451612903226,0.5925925925925926,0.8888888888888888,0.711111111111111,0.594017094017094
9,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.5806451612903226,0.5925925925925926,0.8888888888888888,0.711111111111111,0.594017094017094
10,PETandDX,AD PPT-Ohmnet no APOE,Logistic Regression,0.6129032258064516,0.6,1.0,0.7499999999999999,0.5811965811965811
10,PETandDX,AD PPT-Ohmnet no APOE,SVM Linear,0.5806451612903226,0.5806451612903226,1.0,0.7346938775510204,0.45299145299145305
10,PETandDX,AD PPT-Ohmnet no APOE,SVM RBF,0.5806451612903226,0.5806451612903226,1.0,0.7346938775510204,0.5042735042735043
10,PETandDX,AD PPT-Ohmnet no APOE,Random Forest,0.5806451612903226,0.5806451612903226,1.0,0.7346938775510204,0.5213675213675213
