dataset,acc,pre,rec,f1,auc,fold
A2M_ADAMTS1,0.5251,0.7349,0.4065,0.3821,0.7195,1
A2M_ADAMTS1,0.6164,0.6505,0.7073,0.6752,0.6378,2
A2M_ADAMTS1,0.5662,0.6123,0.6911,0.6281,0.5748,3
A2M_ADAMTS1,0.694,0.7981,0.6098,0.6912,0.758,4
A2M_ADAMTS1,0.7717,0.779,0.8293,0.8032,0.7807,5
A2M_ADAMTS1,0.6164,0.7241,0.5122,0.6,0.6743,6
A2M_ADAMTS1,0.5833,0.6341,0.6341,0.6341,0.5997,7
A2M_ADAMTS1,0.6296,0.701,0.6098,0.6522,0.6627,8
A2M_ADAMTS1,0.5694,0.6667,0.4878,0.5634,0.6036,9
A2M_ADAMTS1,0.6528,0.6739,0.7561,0.7126,0.655,10
A2M_APOE,0.6255,0.6609,0.7723,0.6954,0.7147,1
A2M_APOE,0.5434,0.6704,0.5935,0.524,0.6246,2
A2M_APOE,0.5753,0.6413,0.5529,0.5935,0.5854,3
A2M_APOE,0.6895,0.7896,0.6098,0.6881,0.7446,4
A2M_APOE,0.7717,0.779,0.8293,0.8032,0.789,5
A2M_APOE,0.6073,0.7085,0.5122,0.5944,0.6461,6
A2M_APOE,0.5833,0.6341,0.6341,0.6341,0.605,7
A2M_APOE,0.6296,0.6887,0.7317,0.6856,0.6727,8
A2M_APOE,0.5648,0.6566,0.4959,0.5648,0.6002,9
A2M_APOE,0.6528,0.6739,0.7561,0.7126,0.6589,10
A2M_APP,0.6575,0.7105,0.6585,0.6835,0.6967,1
A2M_APP,0.6347,0.6869,0.6422,0.6638,0.6264,2
A2M_APP,0.5662,0.6372,0.5285,0.5775,0.5605,3
A2M_APP,0.6849,0.7812,0.6098,0.6849,0.7495,4
A2M_APP,0.7625,0.7591,0.8456,0.8,0.7748,5
A2M_APP,0.6164,0.7241,0.5122,0.6,0.6517,6
A2M_APP,0.5833,0.6341,0.6341,0.6341,0.6105,7
A2M_APP,0.6482,0.7304,0.6098,0.6638,0.6583,8
A2M_APP,0.5648,0.6595,0.4878,0.5608,0.6011,9
A2M_APP,0.6528,0.6739,0.7561,0.7126,0.6588,10
A2M_NOS3,0.6575,0.7105,0.6585,0.6835,0.6938,1
A2M_NOS3,0.5616,0.5616,1,0.7193,0.6192,2
A2M_NOS3,0.5616,0.6364,0.5122,0.5676,0.5561,3
A2M_NOS3,0.6986,0.8001,0.6179,0.6972,0.7547,4
A2M_NOS3,0.758,0.7656,0.8212,0.7922,0.7755,5
A2M_NOS3,0.6073,0.7085,0.5122,0.5944,0.651,6
A2M_NOS3,0.5741,0.6227,0.6422,0.632,0.609,7
A2M_NOS3,0.6389,0.7143,0.6098,0.6579,0.6597,8
A2M_NOS3,0.5694,0.6667,0.4878,0.5634,0.597,9
A2M_NOS3,0.6528,0.6739,0.7561,0.7126,0.6623,10
ADAMTS1_VEGFA,0.6621,0.713,0.6666,0.689,0.7045,1
ADAMTS1_VEGFA,0.6118,0.6462,0.7236,0.6744,0.6395,2
ADAMTS1_VEGFA,0.5616,0.5865,0.8374,0.6687,0.5697,3
ADAMTS1_VEGFA,0.6529,0.7249,0.7398,0.7049,0.766,4
ADAMTS1_VEGFA,0.7717,0.7708,0.8456,0.8062,0.7819,5
ADAMTS1_VEGFA,0.6164,0.7241,0.5122,0.6,0.6673,6
ADAMTS1_VEGFA,0.5833,0.6341,0.6341,0.6341,0.5961,7
ADAMTS1_VEGFA,0.6482,0.7343,0.6017,0.6608,0.675,8
ADAMTS1_VEGFA,0.5694,0.6667,0.4878,0.5634,0.6103,9
ADAMTS1_VEGFA,0.6528,0.6739,0.7561,0.7126,0.6591,10
APOE_MAPT,0.6301,0.6633,0.7805,0.7009,0.7176,1
APOE_MAPT,0.6073,0.6402,0.7642,0.6814,0.6453,2
APOE_MAPT,0.5616,0.6115,0.6748,0.6182,0.5656,3
APOE_MAPT,0.6849,0.7812,0.6098,0.6849,0.7608,4
APOE_MAPT,0.758,0.7656,0.8212,0.7922,0.783,5
APOE_MAPT,0.6164,0.7241,0.5122,0.6,0.6669,6
APOE_MAPT,0.5694,0.589,0.8699,0.6914,0.6052,7
APOE_MAPT,0.6482,0.7343,0.6017,0.6608,0.6602,8
APOE_MAPT,0.5694,0.6667,0.4878,0.5634,0.5986,9
APOE_MAPT,0.6528,0.6739,0.7561,0.7126,0.6617,10
APOE_PRNP,0.6575,0.7105,0.6585,0.6835,0.7012,1
APOE_PRNP,0.6255,0.6689,0.6666,0.6671,0.6249,2
APOE_PRNP,0.5616,0.5865,0.8374,0.6687,0.5788,3
APOE_PRNP,0.6895,0.7896,0.6098,0.6881,0.7485,4
APOE_PRNP,0.7625,0.7757,0.813,0.7937,0.7848,5
APOE_PRNP,0.6073,0.7085,0.5122,0.5944,0.6528,6
APOE_PRNP,0.5833,0.6341,0.6341,0.6341,0.6053,7
APOE_PRNP,0.6389,0.7143,0.6098,0.6579,0.6676,8
APOE_PRNP,0.5648,0.6595,0.4878,0.5608,0.6109,9
APOE_PRNP,0.6528,0.6739,0.7561,0.7126,0.6544,10
APOE_PSEN1,0.6529,0.6957,0.6829,0.6889,0.7068,1
APOE_PSEN1,0.6164,0.6487,0.7723,0.6898,0.6331,2
APOE_PSEN1,0.5844,0.6281,0.7155,0.649,0.578,3
APOE_PSEN1,0.6895,0.7834,0.6179,0.6908,0.7471,4
APOE_PSEN1,0.7671,0.7773,0.8212,0.7985,0.777,5
APOE_PSEN1,0.5753,0.6905,0.5935,0.5731,0.6433,6
APOE_PSEN1,0.5741,0.6227,0.6422,0.632,0.603,7
APOE_PSEN1,0.6389,0.7143,0.6098,0.6579,0.6758,8
APOE_PSEN1,0.5694,0.6667,0.4878,0.5634,0.6003,9
APOE_PSEN1,0.6528,0.6739,0.7561,0.7126,0.6611,10
APP_ACHE,0.6849,0.7647,0.6341,0.6933,0.707,1
APP_ACHE,0.5616,0.5616,1,0.7193,0.63,2
APP_ACHE,0.5616,0.5865,0.8374,0.6687,0.5544,3
APP_ACHE,0.6758,0.7659,0.6098,0.6788,0.7389,4
APP_ACHE,0.7717,0.7791,0.8293,0.8031,0.7782,5
APP_ACHE,0.6164,0.7241,0.5122,0.6,0.6546,6
APP_ACHE,0.5833,0.6341,0.6341,0.6341,0.6022,7
APP_ACHE,0.6389,0.7143,0.6098,0.6579,0.6563,8
APP_ACHE,0.5648,0.6595,0.4878,0.5608,0.5982,9
APP_ACHE,0.6528,0.6739,0.7561,0.7126,0.661,10
APP_APOE,0.6484,0.6932,0.6748,0.6834,0.7031,1
APP_APOE,0.621,0.6597,0.6748,0.667,0.6434,2
APP_APOE,0.5616,0.6108,0.6748,0.6226,0.5719,3
APP_APOE,0.694,0.7981,0.6098,0.6912,0.7669,4
APP_APOE,0.7625,0.7757,0.813,0.7937,0.7892,5
APP_APOE,0.6073,0.7085,0.5122,0.5944,0.6851,6
APP_APOE,0.5833,0.6341,0.6341,0.6341,0.5783,7
APP_APOE,0.6482,0.7343,0.6017,0.6608,0.6352,8
APP_APOE,0.5694,0.6667,0.4878,0.5634,0.6246,9
APP_APOE,0.6528,0.6739,0.7561,0.7126,0.6767,10
APP_ATP5F1A,0.5297,0.3804,0.6585,0.4822,0.7283,1
APP_ATP5F1A,0.5844,0.6062,0.8049,0.6831,0.6292,2
APP_ATP5F1A,0.5616,0.6364,0.5122,0.5676,0.5662,3
APP_ATP5F1A,0.6849,0.7812,0.6098,0.6849,0.7525,4
APP_ATP5F1A,0.7671,0.7691,0.8374,0.8016,0.7802,5
APP_ATP5F1A,0.6164,0.7241,0.5122,0.6,0.6367,6
APP_ATP5F1A,0.5833,0.6341,0.6341,0.6341,0.6051,7
APP_ATP5F1A,0.6343,0.7077,0.6098,0.6551,0.6589,8
APP_ATP5F1A,0.5694,0.6667,0.4878,0.5634,0.6029,9
APP_ATP5F1A,0.6528,0.6739,0.7561,0.7126,0.655,10
APP_CASP3,0.6575,0.7105,0.6585,0.6835,0.7045,1
APP_CASP3,0.6255,0.671,0.6585,0.664,0.6301,2
APP_CASP3,0.5616,0.6364,0.5122,0.5676,0.5621,3
