dataset,accuracy,precision,recall,f1,auc,fold
A2M_ADAMTS1,0.6979,0.7598,0.7193,0.7386,0.7652,1
A2M_ADAMTS1,0.625,0.7333,0.5789,0.6471,0.6984,2
A2M_ADAMTS1,0.6875,0.7857,0.6111,0.6875,0.7308,3
A2M_ADAMTS1,0.6042,0.7633,0.6667,0.5733,0.795,4
A2M_ADAMTS1,0.7604,0.7632,0.8333,0.7966,0.8413,5
A2M_ADAMTS1,0.625,0.6681,0.6667,0.667,0.6151,6
A2M_ADAMTS1,0.5417,0.6033,0.7037,0.5484,0.7824,7
A2M_ADAMTS1,0.6022,0.7858,0.6111,0.5427,0.7657,8
A2M_ADAMTS1,0.6774,0.7857,0.6111,0.6875,0.7379,9
A2M_ADAMTS1,0.6774,0.6717,0.8704,0.7579,0.6923,10
A2M_APOE,0.6979,0.7598,0.7193,0.7386,0.749,1
A2M_APOE,0.625,0.7333,0.5789,0.6471,0.7072,2
A2M_APOE,0.5729,0.7828,0.5556,0.5088,0.7348,3
A2M_APOE,0.5937,0.4415,0.6296,0.5135,0.8088,4
A2M_APOE,0.7708,0.7763,0.8333,0.8037,0.8413,5
A2M_APOE,0.6354,0.6798,0.6667,0.673,0.6429,6
A2M_APOE,0.7916,0.7838,0.8704,0.8245,0.7566,7
A2M_APOE,0.6667,0.6893,0.9074,0.7629,0.7628,8
A2M_APOE,0.6774,0.7857,0.6111,0.6875,0.7322,9
A2M_APOE,0.6774,0.6818,0.8333,0.75,0.6995,10
A2M_APP,0.7188,0.7685,0.7544,0.7609,0.7449,1
A2M_APP,0.625,0.6906,0.6666,0.6769,0.7031,2
A2M_APP,0.6146,0.8571,0.4259,0.4934,0.7269,3
A2M_APP,0.6875,0.6734,0.9259,0.7737,0.7996,4
A2M_APP,0.7916,0.8041,0.8333,0.8183,0.8413,5
A2M_APP,0.5625,0.6,0.6667,0.6316,0.631,6
A2M_APP,0.5417,0.7144,0.6852,0.52,0.7699,7
A2M_APP,0.6667,0.6893,0.9074,0.7629,0.7942,8
A2M_APP,0.6129,0.5098,0.4815,0.4953,0.7307,9
A2M_APP,0.6882,0.6812,0.8704,0.7642,0.6995,10
A2M_NOS3,0.7188,0.7685,0.7544,0.7609,0.7449,1
A2M_NOS3,0.6146,0.718,0.5789,0.6409,0.7139,2
A2M_NOS3,0.7188,0.7994,0.6667,0.7265,0.7176,3
A2M_NOS3,0.75,0.7273,0.8889,0.8,0.8009,4
A2M_NOS3,0.8021,0.8187,0.8333,0.8258,0.8413,5
A2M_NOS3,0.625,0.6667,0.6667,0.6667,0.627,6
A2M_NOS3,0.7292,0.7152,0.9074,0.7949,0.754,7
A2M_NOS3,0.7312,0.7847,0.8148,0.7806,0.7799,8
A2M_NOS3,0.6882,0.7787,0.6481,0.706,0.735,9
A2M_NOS3,0.6774,0.6667,0.8889,0.7619,0.6909,10
ADAMTS1_VEGFA,0.7188,0.7593,0.7719,0.7651,0.7449,1
ADAMTS1_VEGFA,0.6146,0.6925,0.6316,0.6598,0.6923,2
ADAMTS1_VEGFA,0.5834,0.6542,0.6111,0.5694,0.7282,3
ADAMTS1_VEGFA,0.7292,0.7062,0.8889,0.787,0.7817,4
ADAMTS1_VEGFA,0.8021,0.8187,0.8333,0.8258,0.8413,5
ADAMTS1_VEGFA,0.625,0.6667,0.6667,0.6667,0.6449,6
ADAMTS1_VEGFA,0.5313,0.381,0.6667,0.4849,0.793,7
ADAMTS1_VEGFA,0.742,0.7875,0.8333,0.7925,0.7856,8
ADAMTS1_VEGFA,0.6774,0.7857,0.6111,0.6875,0.735,9
ADAMTS1_VEGFA,0.6559,0.657,0.8518,0.7418,0.6966,10
APOE_MAPT,0.625,0.6528,0.8772,0.734,0.7463,1
APOE_MAPT,0.6354,0.7389,0.5965,0.66,0.7045,2
APOE_MAPT,0.7188,0.7994,0.6667,0.7265,0.7097,3
APOE_MAPT,0.6771,0.6618,0.9259,0.7668,0.8009,4
APOE_MAPT,0.7292,0.7377,0.8889,0.7938,0.8453,5
APOE_MAPT,0.625,0.6667,0.6667,0.6667,0.6462,6
APOE_MAPT,0.7812,0.7798,0.8518,0.8141,0.7242,7
APOE_MAPT,0.7204,0.7741,0.8333,0.782,0.7799,8
APOE_MAPT,0.6989,0.7717,0.6852,0.7244,0.735,9
APOE_MAPT,0.6774,0.6818,0.8333,0.75,0.6923,10
APOE_PRNP,0.6979,0.7598,0.7193,0.7379,0.7476,1
APOE_PRNP,0.5729,0.4737,0.4737,0.4737,0.7071,2
APOE_PRNP,0.625,0.5333,0.4445,0.4849,0.7229,3
APOE_PRNP,0.7084,0.686,0.8889,0.7743,0.789,4
APOE_PRNP,0.7083,0.7153,0.8889,0.7809,0.8413,5
APOE_PRNP,0.6042,0.6445,0.6667,0.655,0.6647,6
APOE_PRNP,0.7083,0.7086,0.8703,0.7746,0.754,7
APOE_PRNP,0.6667,0.6749,0.9259,0.7669,0.7457,8
APOE_PRNP,0.5699,0.4484,0.5741,0.4925,0.735,9
APOE_PRNP,0.6774,0.6766,0.8518,0.7541,0.6923,10
APOE_PSEN1,0.7084,0.7549,0.7544,0.7543,0.7463,1
APOE_PSEN1,0.6354,0.7389,0.5965,0.66,0.6869,2
APOE_PSEN1,0.7188,0.7994,0.6667,0.7265,0.7123,3
APOE_PSEN1,0.5833,0.5758,0.3704,0.3879,0.8062,4
APOE_PSEN1,0.7187,0.7284,0.8889,0.788,0.8413,5
APOE_PSEN1,0.6354,0.6798,0.6667,0.673,0.625,6
APOE_PSEN1,0.6042,0.6875,0.6667,0.5941,0.7407,7
APOE_PSEN1,0.6129,0.4958,0.5741,0.518,0.7215,8
APOE_PSEN1,0.6989,0.7717,0.6852,0.7244,0.7307,9
APOE_PSEN1,0.6559,0.657,0.8518,0.7418,0.6895,10
APP_ACHE,0.7188,0.7593,0.7719,0.7651,0.749,1
APP_ACHE,0.6354,0.7225,0.6316,0.6723,0.7112,2
APP_ACHE,0.7292,0.8042,0.6852,0.7398,0.7242,3
APP_ACHE,0.6771,0.6618,0.9259,0.7668,0.8049,4
APP_ACHE,0.7917,0.8073,0.8333,0.8191,0.8413,5
APP_ACHE,0.5938,0.6328,0.6667,0.649,0.6686,6
APP_ACHE,0.5521,0.7144,0.7037,0.5516,0.791,7
APP_ACHE,0.6022,0.4852,0.5926,0.5194,0.797,8
APP_ACHE,0.5699,0.4484,0.5741,0.4925,0.735,9
APP_ACHE,0.6774,0.6766,0.8518,0.7541,0.6995,10
APP_APOE,0.7188,0.7593,0.7719,0.7651,0.7328,1
APP_APOE,0.6354,0.6895,0.7017,0.6954,0.6471,2
APP_APOE,0.6563,0.7161,0.7593,0.7116,0.7665,3
APP_APOE,0.6979,0.6764,0.8889,0.7681,0.7785,4
APP_APOE,0.7708,0.7763,0.8333,0.8037,0.8545,5
APP_APOE,0.5833,0.6222,0.6667,0.6433,0.6468,6
APP_APOE,0.5938,0.4435,0.6111,0.5081,0.7407,7
APP_APOE,0.6667,0.6893,0.9074,0.7629,0.8006,8
APP_APOE,0.6774,0.7857,0.6111,0.6875,0.745,9
APP_APOE,0.6667,0.6667,0.8518,0.748,0.7009,10
APP_ATP5F1A,0.7188,0.75,0.7895,0.7692,0.7449,1
APP_ATP5F1A,0.6562,0.707,0.7193,0.713,0.7018,2
APP_ATP5F1A,0.5729,0.4542,0.5556,0.4824,0.7216,3
APP_ATP5F1A,0.6875,0.7555,0.7222,0.6998,0.793,4
APP_ATP5F1A,0.8021,0.8187,0.8333,0.8258,0.8413,5
APP_ATP5F1A,0.625,0.6667,0.6667,0.6667,0.6468,6
APP_ATP5F1A,0.8021,0.7865,0.8889,0.8345,0.7553,7
APP_ATP5F1A,0.5484,0.4004,0.6667,0.5002,0.7913,8
APP_ATP5F1A,0.6774,0.7857,0.6111,0.6875,0.7322,9
APP_ATP5F1A,0.6667,0.6619,0.8704,0.7518,0.698,10
APP_CASP3,0.6979,0.7505,0.7368,0.7435,0.7476,1
