dataset,acc,pre,rec,f1,auc,fold
A2M,0.6803,0.7489,0.6504,0.6958,0.7031,1
A2M,0.5844,0.6,0.8862,0.7034,0.6359,2
A2M,0.5662,0.6372,0.5285,0.5775,0.569,3
A2M,0.5981,0.7551,0.5854,0.5815,0.7516,4
A2M,0.758,0.7574,0.8374,0.7953,0.7821,5
A2M,0.5799,0.742,0.3984,0.4933,0.6429,6
A2M,0.5833,0.6341,0.6341,0.6341,0.6058,7
A2M,0.6204,0.6738,0.7399,0.6836,0.6732,8
A2M,0.5694,0.6667,0.4878,0.5634,0.59,9
A2M,0.6528,0.6739,0.7561,0.7126,0.6709,10
ACHE,0.6712,0.7308,0.6585,0.6925,0.7054,1
ACHE,0.6438,0.6923,0.6585,0.675,0.6311,2
ACHE,0.5662,0.6123,0.6911,0.6281,0.5857,3
ACHE,0.694,0.7981,0.6098,0.6912,0.7504,4
ACHE,0.758,0.7656,0.8212,0.7922,0.7758,5
ACHE,0.6073,0.7085,0.5122,0.5944,0.6669,6
ACHE,0.5833,0.6341,0.6341,0.6341,0.6085,7
ACHE,0.6482,0.7343,0.6017,0.6608,0.6567,8
ACHE,0.5694,0.6667,0.4878,0.5634,0.6003,9
ACHE,0.6528,0.6739,0.7561,0.7126,0.6482,10
ADAMTS1,0.6301,0.6633,0.7805,0.7009,0.7349,1
ADAMTS1,0.6027,0.6299,0.7723,0.6812,0.6426,2
ADAMTS1,0.557,0.5845,0.8293,0.665,0.5771,3
ADAMTS1,0.7032,0.8085,0.6179,0.7004,0.7549,4
ADAMTS1,0.7123,0.7176,0.8781,0.7799,0.7833,5
ADAMTS1,0.6164,0.7241,0.5122,0.6,0.6613,6
ADAMTS1,0.5694,0.6012,0.7642,0.6626,0.6037,7
ADAMTS1,0.6389,0.701,0.6423,0.6688,0.6771,8
ADAMTS1,0.5648,0.6566,0.4959,0.5648,0.5985,9
ADAMTS1,0.6528,0.6739,0.7561,0.7126,0.6446,10
APP,0.6073,0.6457,0.6666,0.656,0.6833,1
APP,0.6301,0.6695,0.6829,0.6732,0.639,2
APP,0.5616,0.6364,0.5122,0.5676,0.5976,3
APP,0.6986,0.8065,0.6098,0.6944,0.755,4
APP,0.7534,0.7504,0.8455,0.7942,0.7656,5
APP,0.6164,0.7241,0.5122,0.6,0.6678,6
APP,0.5833,0.6341,0.6341,0.6341,0.5944,7
APP,0.6667,0.7742,0.5854,0.6667,0.692,8
APP,0.5694,0.6667,0.4878,0.5634,0.5973,9
APP,0.6528,0.6739,0.7561,0.7126,0.6588,10
BAX,0.6575,0.7105,0.6585,0.6835,0.6975,1
BAX,0.5844,0.6032,0.878,0.7008,0.627,2
BAX,0.557,0.5845,0.8293,0.665,0.572,3
BAX,0.6849,0.7812,0.6098,0.6849,0.7473,4
BAX,0.7762,0.7808,0.8374,0.8079,0.7913,5
BAX,0.5936,0.7446,0.4309,0.5333,0.6647,6
BAX,0.5833,0.6341,0.6341,0.6341,0.6149,7
BAX,0.625,0.6923,0.7236,0.6802,0.6768,8
BAX,0.5694,0.6667,0.4878,0.5634,0.606,9
BAX,0.6528,0.6739,0.7561,0.7126,0.6524,10
CALM1,0.6712,0.7308,0.6585,0.6925,0.7028,1
CALM1,0.5616,0.6937,0.5854,0.5319,0.6557,2
CALM1,0.5616,0.6364,0.5122,0.5676,0.5547,3
CALM1,0.6484,0.7167,0.7398,0.7017,0.7489,4
CALM1,0.7762,0.7808,0.8374,0.8079,0.782,5
CALM1,0.6164,0.7241,0.5122,0.6,0.6861,6
CALM1,0.5833,0.6341,0.6341,0.6341,0.6078,7
CALM1,0.6389,0.7143,0.6098,0.6579,0.6608,8
CALM1,0.5694,0.6667,0.4878,0.5634,0.6049,9
CALM1,0.6528,0.6739,0.7561,0.7126,0.6689,10
CASP3,0.6575,0.7105,0.6585,0.6835,0.702,1
CASP3,0.6484,0.6949,0.6666,0.6805,0.6347,2
CASP3,0.5616,0.6115,0.6748,0.6182,0.5489,3
CASP3,0.6986,0.8065,0.6098,0.6944,0.7468,4
CASP3,0.7717,0.7708,0.8456,0.8062,0.7852,5
CASP3,0.6164,0.7241,0.5122,0.6,0.6622,6
CASP3,0.5833,0.6341,0.6341,0.6341,0.6079,7
CASP3,0.6574,0.7542,0.5935,0.6638,0.674,8
CASP3,0.5694,0.6667,0.4878,0.5634,0.604,9
CASP3,0.6528,0.6715,0.7642,0.7148,0.671,10
CHRNA7,0.6575,0.7051,0.691,0.6934,0.7134,1
CHRNA7,0.589,0.6288,0.7235,0.6618,0.6342,2
CHRNA7,0.5479,0.6038,0.6585,0.6126,0.5493,3
CHRNA7,0.6849,0.7812,0.6098,0.6849,0.7773,4
CHRNA7,0.7762,0.7808,0.8374,0.8079,0.796,5
CHRNA7,0.6164,0.7241,0.5122,0.6,0.697,6
CHRNA7,0.5787,0.5974,0.8374,0.6889,0.6163,7
CHRNA7,0.6019,0.6765,0.6667,0.6572,0.6303,8
CHRNA7,0.5694,0.6667,0.4878,0.5634,0.6251,9
CHRNA7,0.6528,0.6739,0.7561,0.7126,0.6485,10
CLU,0.6712,0.7308,0.6585,0.6925,0.7014,1
CLU,0.6347,0.6838,0.6504,0.6667,0.6263,2
CLU,0.5662,0.6197,0.6829,0.6335,0.5681,3
CLU,0.694,0.7981,0.6098,0.6912,0.747,4
CLU,0.7671,0.7691,0.8374,0.8016,0.7871,5
CLU,0.6164,0.7241,0.5122,0.6,0.682,6
CLU,0.537,0.645,0.439,0.453,0.6133,7
CLU,0.6389,0.7143,0.6098,0.6579,0.6587,8
CLU,0.5416,0.6945,0.374,0.4572,0.5996,9
CLU,0.6528,0.6739,0.7561,0.7126,0.6519,10
EIF2S1,0.6575,0.7105,0.6585,0.6835,0.6989,1
EIF2S1,0.6392,0.6834,0.6666,0.6749,0.6438,2
EIF2S1,0.5616,0.6364,0.5122,0.5676,0.5919,3
EIF2S1,0.5753,0.7894,0.5529,0.5022,0.7373,4
EIF2S1,0.6895,0.6861,0.9024,0.7705,0.7798,5
EIF2S1,0.6164,0.7241,0.5122,0.6,0.6668,6
EIF2S1,0.5833,0.6341,0.6341,0.6341,0.6001,7
EIF2S1,0.6528,0.7369,0.6098,0.6666,0.6665,8
