random,epoch,1,2,3
1,0,0.75,0.7698,0.6865
2,59,0.7421,0.6984,0.7262000000000001
3,179,0.8214,0.7143,0.7222000000000001
4,159,0.5476,0.7103,0.6587000000000001
5,99,0.5754,0.5595,0.5873
6,179,0.631,0.7381000000000001,0.5833
7,39,0.75,0.754,0.7897000000000001
8,79,0.631,0.6508,0.6429
9,19,0.7579,0.7937000000000001,0.7619
10,19,0.6786,0.746,0.8849
11,99,0.7183,0.7341000000000001,0.7024
12,59,0.7738,0.623,0.631
13,119,0.877,0.754,0.7976000000000001
14,159,0.7579,0.6905,0.7063
15,19,0.7937000000000001,0.8294,0.7103
16,0,0.7103,0.6825,0.5516
17,119,0.8056000000000001,0.8214,0.7103
18,99,0.6944,0.7143,0.5635
19,199,0.7937000000000001,0.7103,0.7024
20,39,0.5298,0.6468,0.754
21,99,0.7738,0.6587000000000001,0.7143
22,19,0.7778,0.877,0.5992000000000001
23,99,0.7183,0.7222000000000001,0.7302000000000001
24,59,0.7183,0.7024,0.6746
25,139,0.8016000000000001,0.8929,0.7659
26,39,0.7143,0.6548,0.6151
27,199,0.7698,0.7857000000000001,0.7421
28,199,0.8175,0.7302000000000001,0.6786
29,179,0.7937000000000001,0.6944,0.6548
30,59,0.75,0.7778,0.7222000000000001
31,199,0.7421,0.6746,0.6825
32,119,0.7302000000000001,0.7103,0.7024
33,139,0.7381000000000001,0.6429,0.754
34,99,0.7778,0.8016000000000001,0.6825
35,139,0.8095,0.6944,0.7024
36,139,0.8333,0.8095,0.75
37,19,0.7817000000000001,0.8413,0.7976000000000001
38,59,0.6667000000000001,0.7659,0.6865
39,199,0.6984,0.6786,0.6548
40,19,0.7143,0.6667000000000001,0.6111
41,179,0.6667000000000001,0.6032000000000001,0.754
42,79,0.7103,0.8135,0.7579
43,19,0.7381000000000001,0.8254,0.8452000000000001
44,39,0.7857000000000001,0.8294,0.6151
45,199,0.6944,0.6905,0.7302000000000001
46,139,0.6905,0.7857000000000001,0.6389
47,0,0.619,0.7302000000000001,0.7183
48,199,0.7976000000000001,0.869,0.881
49,79,0.8135,0.8095,0.8333
50,99,0.6667000000000001,0.7262000000000001,0.7659
51,119,0.7302000000000001,0.7381000000000001,0.754
52,119,0.6865,0.7103,0.7262000000000001
53,79,0.6349,0.8532000000000001,0.873
54,139,0.6389,0.6389,0.504
55,39,0.6905,0.6746,0.746
56,79,0.6389,0.496,0.7976000000000001
57,179,0.8095,0.8294,0.8175
58,119,0.7103,0.8056000000000001,0.7222000000000001
59,19,0.8056000000000001,0.7659,0.5754
60,19,0.5833,0.7302000000000001,0.623
61,199,0.8135,0.7421,0.6865
62,159,0.873,0.8651000000000001,0.75
63,19,0.7579,0.8651000000000001,0.6349
64,159,0.7302000000000001,0.6349,0.7659
65,119,0.6667000000000001,0.6032000000000001,0.7262000000000001
66,19,0.6508,0.5873,0.7222000000000001
67,0,0.6806,0.7183,0.6032000000000001
68,39,0.7937000000000001,0.7698,0.6944
69,159,0.6905,0.6905,0.6825
70,39,0.7421,0.8571000000000001,0.8016000000000001
71,39,0.5754,0.746,0.7381000000000001
72,119,0.7937000000000001,0.754,0.7659
73,39,0.6706000000000001,0.5476,0.8214
74,199,0.7103,0.7341000000000001,0.7619
75,39,0.6865,0.6508,0.7262000000000001
76,139,0.8135,0.7817000000000001,0.746
77,119,0.7302000000000001,0.6825,0.6667000000000001
78,19,0.7976000000000001,0.8016000000000001,0.6627000000000001
79,99,0.8492000000000001,0.754,0.5
80,19,0.7381000000000001,0.6746,0.6389
81,199,0.7817000000000001,0.8135,0.8095
82,19,0.7024,0.6468,0.7143
83,99,0.6389,0.496,0.7103
84,159,0.7937000000000001,0.6587000000000001,0.7579
85,159,0.75,0.6706000000000001,0.7897000000000001
86,159,0.7778,0.7659,0.7143
87,199,0.7619,0.7659,0.8056000000000001
88,199,0.7103,0.7024,0.7222000000000001
89,19,0.631,0.8413,0.8373
90,39,0.9246000000000001,0.7976000000000001,0.8095
91,19,0.6032000000000001,0.6944,0.7183
92,0,0.6746,0.754,0.2421
93,19,0.8651000000000001,0.8214,0.8095
94,99,0.5595,0.7183,0.8611000000000001
95,119,0.7619,0.8254,0.6111
96,119,0.7381000000000001,0.8254,0.7817000000000001
97,19,0.9048,0.5079,0.7143
98,79,0.5635,0.6587000000000001,0.7024
99,179,0.8095,0.8056000000000001,0.7381000000000001
100,0,0.6905,0.6706000000000001,0.3095
