,,,ACC,ACC,PRE,PRE,REC,REC,F1,F1,AUC,AUC
,,,mean,std,mean,std,mean,std,mean,std,mean,std
Target,Dataset,Model,,,,,,,,,,
LOAD,AD STRING,GNN GraphGym,0.6479333333333334,0.0180710634256353,0.7074666666666666,0.04708251621709842,0.7723,0.1287,0.7316333333333332,0.041201739445481375,0.6638666666666666,0.011154072499913728
LOAD,AD STRING,Logistic Regression,0.6375,0.0,0.717171717171717,0.0,0.702970297029703,0.0,0.71,0.0,0.625776136935728,0.0
LOAD,AD STRING,Random Forest,0.6062500000000001,0.0108253175473055,0.6656667241600437,0.006014059455108269,0.7557755775577556,0.015124012194573362,0.707844097453182,0.009669148089791609,0.5855288918722383,0.0014443979788191182
LOAD,AD STRING,SVM Linear,0.6687499999999998,0.0,0.75531914893617,0.0,0.702970297029703,0.0,0.728205128205128,0.0,0.6253845723555403,0.010111134005304244
LOAD,AD STRING,SVM RBF,0.6479166666666666,0.019094065395649333,0.7021897163120566,0.06392333754756671,0.8052805280528054,0.168704658998443,0.739523132935382,0.030388378612308066,0.5981988029311407,0.0095082737885475
LOAD,NDD STRING,GNN GraphGym,0.6416666666666666,0.02004428430583978,0.6662,0.010049378090210372,0.868,0.07561249896677136,0.7527333333333334,0.02544097744453487,0.6495666666666667,0.038236413709098485
LOAD,NDD STRING,Logistic Regression,0.6375,0.0,0.68695652173913,0.0,0.782178217821782,0.0,0.731481481481482,0.0,0.622755495888572,0.0
LOAD,NDD STRING,Random Forest,0.5875,0.012500000000000025,0.633569099386136,0.006876686896065902,0.821782178217822,0.017149017896721686,0.7154781583567194,0.010123725202796434,0.5716283492756057,0.007166208202451851
LOAD,NDD STRING,SVM Linear,0.6687499999999998,0.0,0.75531914893617,0.0,0.702970297029703,0.0,0.728205128205128,0.0,0.609833864742406,0.0
LOAD,NDD STRING,SVM RBF,0.6437499999999999,0.02165063509461097,0.6726063829787233,0.07163135653642555,0.900990099009901,0.17149017896721552,0.758699282837214,0.026408712578317426,0.6020305420372547,0.006150423757109156
LOAD,Only APOE,Logistic Regression,0.6688,,0.7553,,0.703,,0.7282,,0.6266,
