Target,Dataset,Model,ACC,PRE,REC,F1,AUC,CM,TN,FP,FN,TP,Specificity,Sensitivity
PET,AD STRING,Random Forest,0.616438356164384,0.63265306122449,0.75609756097561,0.688888888888889,0.635670731707317,"[[14 18]
 [10 31]]",16,16,9,32,0.5,0.7805
PET,AD STRING,SVM Linear,0.63013698630137,0.645833333333333,0.75609756097561,0.696629213483146,0.664634146341463,"[[15 17]
 [10 31]]",16,16,10,31,0.5,0.7561
PET,AD STRING,SVM RBF,0.671232876712329,0.680851063829787,0.780487804878049,0.727272727272727,0.66844512195122,"[[17 15]
 [ 9 32]]",16,16,7,34,0.5,0.8293
PET,AD STRING,Logistic Regression,0.657534246575342,0.673913043478261,0.75609756097561,0.712643678160919,0.621189024390244,"[[17 15]
 [10 31]]",17,15,10,31,0.5313,0.7561
PET,NDD STRING,Random Forest,0.561643835616438,0.584905660377358,0.75609756097561,0.659574468085106,0.637576219512195,"[[10 22]
 [10 31]]",12,20,8,33,0.375,0.8049
PET,NDD STRING,SVM Linear,0.602739726027397,0.611111111111111,0.804878048780488,0.694736842105263,0.607088414634146,"[[11 21]
 [ 8 33]]",11,21,8,33,0.3438,0.8049
PET,NDD STRING,SVM RBF,0.561643835616438,0.561643835616438,1,0.719298245614035,0.551829268292683,"[[ 0 32]
 [ 0 41]]",12,20,10,31,0.375,0.7561
PET,NDD STRING,Logistic Regression,0.547945205479452,0.590909090909091,0.634146341463415,0.611764705882353,0.611280487804878,"[[14 18]
 [15 26]]",14,18,15,26,0.4375,0.6341
PET,AD STRING,Random Forest,0.643835616438356,0.653061224489796,0.780487804878049,0.711111111111111,0.649771341463415,"[[15 17]
 [ 9 32]]",16,16,11,30,0.5,0.7317
PET,AD STRING,SVM Linear,0.63013698630137,0.64,0.780487804878049,0.703296703296703,0.666158536585366,"[[14 18]
 [ 9 32]]",15,17,10,31,0.4688,0.7561
PET,AD STRING,SVM RBF,0.684931506849315,0.68,0.829268292682927,0.747252747252747,0.665015243902439,"[[16 16]
 [ 7 34]]",16,16,7,34,0.5,0.8293
PET,AD STRING,Logistic Regression,0.657534246575342,0.673913043478261,0.75609756097561,0.712643678160919,0.621189024390244,"[[17 15]
 [10 31]]",17,15,10,31,0.5313,0.7561
PET,NDD STRING,Random Forest,0.561643835616438,0.6,0.658536585365854,0.627906976744186,0.570503048780488,"[[14 18]
 [14 27]]",12,20,11,30,0.375,0.7317
PET,NDD STRING,SVM Linear,0.602739726027397,0.611111111111111,0.804878048780488,0.694736842105263,0.606707317073171,"[[11 21]
 [ 8 33]]",11,21,8,33,0.3438,0.8049
PET,NDD STRING,SVM RBF,0.561643835616438,0.563380281690141,0.975609756097561,0.714285714285714,0.550304878048781,"[[ 1 31]
 [ 1 40]]",1,31,1,40,0.0313,0.9756
PET,NDD STRING,Logistic Regression,0.547945205479452,0.590909090909091,0.634146341463415,0.611764705882353,0.611280487804878,"[[14 18]
 [15 26]]",14,18,15,26,0.4375,0.6341
PET,AD STRING,Random Forest,0.63013698630137,0.645833333333333,0.75609756097561,0.696629213483146,0.639481707317073,"[[15 17]
 [10 31]]",13,19,10,31,0.4063,0.7561
PET,AD STRING,SVM Linear,0.63013698630137,0.652173913043478,0.731707317073171,0.689655172413793,0.669207317073171,"[[16 16]
 [11 30]]",14,18,9,32,0.4375,0.7805
PET,AD STRING,SVM RBF,0.671232876712329,0.680851063829787,0.780487804878049,0.727272727272727,0.666920731707317,"[[17 15]
 [ 9 32]]",17,15,9,32,0.5313,0.7805
PET,AD STRING,Logistic Regression,0.657534246575342,0.673913043478261,0.75609756097561,0.712643678160919,0.621189024390244,"[[17 15]
 [10 31]]",17,15,10,31,0.5313,0.7561
PET,NDD STRING,Random Forest,0.547945205479452,0.58,0.707317073170732,0.637362637362637,0.618521341463415,"[[11 21]
 [12 29]]",13,19,10,31,0.4063,0.7561
PET,NDD STRING,SVM Linear,0.602739726027397,0.611111111111111,0.804878048780488,0.694736842105263,0.606707317073171,"[[11 21]
 [ 8 33]]",11,21,8,33,0.3438,0.8049
PET,NDD STRING,SVM RBF,0.561643835616438,0.561643835616438,1,0.719298245614035,0.551829268292683,"[[ 0 32]
 [ 0 41]]",0,32,0,41,0,1
