,,,ACC,ACC,PRE,PRE,REC,REC,F1,F1,AUC,AUC
,,,mean,std,mean,std,mean,std,mean,std,mean,std
Target,Dataset,Model,,,,,,,,,,
PET&DX,AD STRING,GNN GraphGym,0.5833666666666666,0.01807106342563533,0.5967333333333333,0.03009091778815218,0.8333333333333334,0.14699038517308993,0.6898666666666666,0.027324409112244902,0.7090000000000001,0.024287651183265906
PET&DX,AD STRING,Logistic Regression,0.5625,0.0,0.576923076923077,0.0,0.833333333333333,0.0,0.681818181818182,0.0,0.595238095238095,0.0
PET&DX,AD STRING,Random Forest,0.6770833333333334,0.04773516348912333,0.6416361416361417,0.02566281997189743,0.9629629629629629,0.06415002990995838,0.7699604743083003,0.03797758782439327,0.738095238095238,0.017857142857143016
PET&DX,AD STRING,SVM Linear,0.5625,0.0,0.5732600732600729,0.003172254226316886,0.8703703703703702,0.03207501495497946,0.691040843214756,0.007987059059935136,0.6534391534391536,0.002291072496784213
PET&DX,AD STRING,SVM RBF,0.6145833333333334,0.018042195912175797,0.607787274453941,0.013158980494349971,0.888888888888889,0.0,0.7218855218855217,0.009330913441448412,0.674603174603175,0.003968253968254037
PET&DX,"AD STRING
No APOE",GNN GraphGym,0.5520666666666667,0.10972266554059532,0.4008333333333334,0.34928796620171926,0.6296333333333334,0.5481007237117401,0.48806666666666665,0.4228512898565326,0.5225,0.10348231733006369
PET&DX,"AD STRING
No APOE",Logistic Regression,0.4895833333333333,0.018042195912175808,0.5365497076023393,0.008862833079665632,0.6666666666666666,0.09622504486493721,0.5928785928785927,0.0453260829093531,0.476190476190476,0.02061965247105825
PET&DX,"AD STRING
No APOE",Random Forest,0.53125,0.0,0.561996779388084,0.005578263470430983,0.759259259259259,0.0641500299099584,0.6449864498644989,0.018775618510231698,0.5324074074074076,0.01906552289074037
PET&DX,"AD STRING
No APOE",SVM Linear,0.5625,0.0,0.5654761904761904,0.005154913117764249,0.9629629629629629,0.06415002990995838,0.7118840579710143,0.0140572239454868,0.4603174603174603,0.08593812630042766
PET&DX,"AD STRING
No APOE",SVM RBF,0.5729166666666666,0.018042195912175797,0.5704022988505747,0.013687183105788456,0.9814814814814813,0.03207501495497949,0.7211347517730496,0.001965447724900927,0.46825396825396837,0.0796621424598602
PET&DX,NDD STRING,GNN GraphGym,0.6770666666666667,0.09542669088537722,0.7464333333333334,0.10047857151320036,0.6666666666666666,0.16665000250025006,0.6933666666666666,0.10265253690646584,0.7619333333333334,0.11062532862474728
PET&DX,NDD STRING,Logistic Regression,0.46875,0.0,0.521739130434783,0.0,0.666666666666667,0.0,0.585365853658537,0.0,0.4920634920634919,0.0
PET&DX,NDD STRING,Random Forest,0.6979166666666666,0.018042195912175797,0.6763285024154589,0.016734790411293055,0.888888888888889,0.0,0.7680991095625243,0.010728924862989665,0.6494708994708996,0.00998655348580806
PET&DX,NDD STRING,SVM Linear,0.53125,0.0,0.56,0.0,0.777777777777778,0.0,0.651162790697674,0.0,0.5132275132275134,0.0022910724967843254
PET&DX,NDD STRING,SVM RBF,0.5625,0.0,0.5625,0.0,1.0,0.0,0.7200000000000001,0.0,0.4470899470899466,0.002291072496784245
PET&DX,"NDD STRING
No APOE",GNN GraphGym,0.5208333333333334,0.07216878364870322,0.5416666666666666,0.036084391824351615,0.8889,0.1924308447209023,0.6704666666666667,0.08579425000157835,0.35316666666666663,0.017286507262409403
PET&DX,"NDD STRING
No APOE",Logistic Regression,0.4791666666666667,0.018042195912175808,0.5314327485380117,0.008862833079665624,0.6111111111111114,0.09622504486493721,0.5667095667095663,0.0453260829093531,0.46428571428571397,0.02061965247105825
PET&DX,"NDD STRING
No APOE",Random Forest,0.4895833333333333,0.07216878364870322,0.5323211410167933,0.04885004010123676,0.7037037037037036,0.13981174880130973,0.6045445069835317,0.08108243469916544,0.470899470899471,0.055779499511179075
PET&DX,"NDD STRING
No APOE",SVM Linear,0.5208333333333334,0.04773516348912335,0.5498228329444297,0.022616409848080665,0.777777777777778,0.19245008972987504,0.6390145927611233,0.08560153290380253,0.48941798941798936,0.11780658242440378
PET&DX,"NDD STRING
No APOE",SVM RBF,0.5416666666666666,0.036084391824351615,0.5535714285714287,0.015464739353293356,0.9444444444444443,0.09622504486493781,0.697391304347826,0.03915940956242689,0.39947089947089937,0.0902577889377355
PET&DX,Only APOE,Logistic Regression,0.75,,0.7272,,0.8888,,0.7999,,0.6825,
