Target,Dataset,Model,ACC,PRE,REC,F1,AUC,CM,TN,FP,FN,TP,Specificity,Sensitivity
PET,AD STRING,GNN GraphGym,0.5625,0.5625,1,0.72,0.6825,"[[0,14], [0, 18]]",0,14,0,18,1,0
PET,AD STRING,GNN GraphGym,0.5938,0.619,0.7222,0.6667,0.7302,"[[6, 8], [5, 13]]",6,8,5,13,0.7222222222,0.4285714286
PET,AD STRING,GNN GraphGym,0.5938,0.6087,0.7778,0.6829,0.7143,"[[5, 9], [4, 14]]",5,9,4,14,0.7777777778,0.3571428571
PET,AD BioGRID,GNN GraphGym,0.6875,0.6818,0.8333,0.75,0.6944,"[[7, 7], [3, 15]]",7,7,3,15,0.5,0.833333333333333
PET,AD BioGRID,GNN GraphGym,0.7188,0.7143,0.8333,0.7692,0.6865,"[[8, 6], [3, 15]]",8,6,3,15,0.571428571428571,0.833333333333333
PET,AD BioGRID,GNN GraphGym,0.7188,0.7368,0.7778,0.7568,0.6845,"[[9, 5], [4, 14]]",9,5,4,14,0.642857142857143,0.777777777777778
PET,AD HuRI,GNN GraphGym,0.75,0.75,0.8333,0.7895,0.7758,"[[9, 5], [3, 15]]",9,5,3,15,0.642857142857143,0.833333333333333
PET,AD HuRI,GNN GraphGym,0.75,0.7273,0.8889,0.8,0.7599,"[[8, 6], [2, 16]]",8,6,2,16,0.571428571428571,0.888888888888889
PET,AD HuRI,GNN GraphGym,0.75,0.75,0.8333,0.7895,0.8532,"[[9, 5], [3, 15]]",9,5,3,15,0.642857142857143,0.833333333333333
PET,"AD PPT-Ohmnet
Brain",GNN GraphGym,0.75,0.7273,0.8889,0.8,0.7778,"[[8, 6], [2, 16]]",8,6,2,16,0.571428571428571,0.888888888888889
PET,"AD PPT-Ohmnet
Brain",GNN GraphGym,0.75,0.75,0.8333,0.7895,0.754,"[[9, 5], [3, 15]]",9,5,3,15,0.642857142857143,0.833333333333333
PET,"AD PPT-Ohmnet
Brain",GNN GraphGym,0.75,0.7273,0.8889,0.8,0.744,"[[8, 6], [2, 16]]",8,6,2,16,0.571428571428571,0.888888888888889
PET,"AD GIANT
Brain",GNN GraphGym,0.7812,0.7619,0.8889,0.8205,0.7063,"[[9, 5], [2, 16]]",9,5,2,16,0.642857142857143,0.888888888888889
PET,"AD GIANT
Brain",GNN GraphGym,0.75,0.7273,0.8889,0.8,0.756,"[[8, 6], [2, 16]]",8,6,2,16,0.571428571428571,0.888888888888889
PET,"AD GIANT
Brain",GNN GraphGym,0.75,0.8125,0.7222,0.7647,0.8075,"[[11, 3], [5, 13]]",11,3,5,13,0.785714285714286,0.722222222222222
