random,epoch,1,2,3
1,79,0.6463,0.6829000000000001,0.6448
2,119,0.6509,0.6509,0.6715
3,79,0.6692,0.686,0.7584000000000001
4,159,0.6387,0.6593,0.673
5,99,0.654,0.6646000000000001,0.6776
6,179,0.7256,0.7271000000000001,0.6921
7,99,0.6471,0.7020000000000001,0.6852
8,179,0.7073,0.6921,0.7233
9,139,0.6646000000000001,0.6524,0.6692
10,59,0.7157,0.7088,0.6966
11,79,0.6822,0.6509,0.6646000000000001
12,139,0.6944,0.6075,0.7294
13,79,0.6677000000000001,0.6387,0.6517000000000001
14,79,0.6806,0.6753,0.6578
15,79,0.6402,0.6402,0.6593
16,179,0.7035,0.6989000000000001,0.7043
17,79,0.6517000000000001,0.6898000000000001,0.6631
18,59,0.6631,0.6364000000000001,0.6128
19,199,0.6806,0.747,0.6845
20,59,0.6723,0.6349,0.6509
21,79,0.5877,0.6837000000000001,0.6745
22,79,0.7149,0.705,0.6944
23,199,0.6982,0.686,0.7104
24,79,0.5991000000000001,0.6944,0.6509
25,159,0.5854,0.6562,0.6585000000000001
26,59,0.6829000000000001,0.6463,0.6715
27,59,0.6951,0.6669,0.657
28,59,0.6806,0.6441,0.6944
29,119,0.5899,0.734,0.7271000000000001
30,79,0.6654,0.6723,0.6928000000000001
31,119,0.6814,0.6791,0.6982
32,79,0.6402,0.7020000000000001,0.7111000000000001
33,179,0.7317,0.6791,0.6692
34,179,0.6822,0.6837000000000001,0.6707000000000001
35,139,0.6768000000000001,0.7119000000000001,0.6890000000000001
36,59,0.609,0.6989000000000001,0.6784
37,39,0.6745,0.6341,0.6181
38,179,0.6966,0.6616000000000001,0.6852
39,179,0.6654,0.6402,0.6547000000000001
40,179,0.6448,0.6555000000000001,0.6494
41,59,0.6837000000000001,0.6517000000000001,0.6151
42,179,0.6905,0.6707000000000001,0.6799000000000001
43,19,0.625,0.612,0.6364000000000001
44,59,0.6822,0.705,0.6471
45,119,0.7058,0.6433,0.7188
46,199,0.7233,0.6837000000000001,0.6883
47,179,0.686,0.6136,0.6959000000000001
48,79,0.6738000000000001,0.6585000000000001,0.6669
49,159,0.6745,0.6753,0.6715
50,59,0.6517000000000001,0.6517000000000001,0.7104
51,139,0.6883,0.657,0.6479
52,159,0.6555000000000001,0.6334000000000001,0.6822
53,59,0.6418,0.6509,0.6486000000000001
54,159,0.6593,0.7195,0.6905
55,119,0.6768000000000001,0.6364000000000001,0.6646000000000001
56,119,0.7027,0.6776,0.5831000000000001
57,199,0.6989000000000001,0.7393000000000001,0.7309
58,59,0.6662,0.6913,0.6623
59,79,0.718,0.5579000000000001,0.7149
60,79,0.6707000000000001,0.6997,0.6692
61,99,0.6517000000000001,0.7088,0.6616000000000001
62,79,0.673,0.638,0.6799000000000001
63,199,0.6441,0.6654,0.641
64,119,0.6212,0.6936,0.7195
65,79,0.6654,0.6799000000000001,0.7309
66,99,0.6905,0.5884,0.6837000000000001
67,59,0.6806,0.6707000000000001,0.6387
68,79,0.6204000000000001,0.657,0.6273000000000001
69,199,0.628,0.6372,0.6966
70,119,0.6128,0.7043,0.7248
71,99,0.6334000000000001,0.6913,0.6585000000000001
72,119,0.6829000000000001,0.6273000000000001,0.6585000000000001
73,159,0.721,0.7218,0.6646000000000001
74,139,0.6197,0.6098,0.6212
75,159,0.6692,0.6852,0.6837000000000001
76,79,0.6448,0.7485,0.7096
77,79,0.6814,0.6944,0.6890000000000001
78,99,0.6608,0.6715,0.6639
79,79,0.6791,0.6814,0.6509
80,119,0.6936,0.6623,0.7188
81,59,0.6845,0.6677000000000001,0.6601
82,99,0.6959000000000001,0.686,0.6143000000000001
83,99,0.6715,0.6357,0.6829000000000001
84,199,0.6578,0.6951,0.6471
85,119,0.7386,0.6745,0.6845
86,59,0.6204000000000001,0.6181,0.6761
87,159,0.5739000000000001,0.7241000000000001,0.6273000000000001
88,139,0.6867000000000001,0.6593,0.6928000000000001
89,199,0.6258,0.6494,0.628
90,99,0.6646000000000001,0.6364000000000001,0.6585000000000001
91,159,0.6547000000000001,0.6387,0.6753
92,199,0.6913,0.6822,0.6799000000000001
93,99,0.6288,0.7294,0.7111000000000001
94,179,0.7073,0.7348,0.6471
95,119,0.6997,0.6585000000000001,0.67
96,159,0.6425000000000001,0.6021000000000001,0.6547000000000001
97,59,0.6829000000000001,0.6509,0.6639
98,119,0.6989000000000001,0.6761,0.6799000000000001
99,199,0.6905,0.7348,0.6799000000000001
100,139,0.6814,0.612,0.6776
