random,epoch,1,2,3
1,199,0.654,0.6715,0.6692
2,119,0.6105,0.5625,0.6502
3,79,0.5938,0.5907,0.5568000000000001
4,79,0.6258,0.654,0.649
5,79,0.6052000000000001,0.5857,0.5293
6,99,0.6357,0.6418,0.612
7,59,0.7016,0.6616000000000001,0.63
8,99,0.5229,0.5579000000000001,0.4939
9,59,0.7081000000000001,0.7088,0.6616000000000001
10,119,0.6197,0.5206000000000001,0.6082000000000001
11,199,0.6631,0.641,0.6159
12,39,0.6563,0.7134,0.6532
13,119,0.7027,0.6806,0.6997
14,59,0.7058,0.7348,0.6997
15,59,0.7149,0.6448,0.6905
16,59,0.5724,0.5991000000000001,0.593
17,119,0.718,0.7241000000000001,0.6768000000000001
18,119,0.6151,0.5,0.5816
19,79,0.6745,0.673,0.6524
20,39,0.5343,0.6082000000000001,0.5252
21,119,0.6761,0.686,0.7088
22,39,0.6052000000000001,0.6517000000000001,0.6707000000000001
23,139,0.638,0.6357,0.6784
24,199,0.5998,0.6433,0.6067
25,139,0.7134,0.7165,0.7302000000000001
26,99,0.6387,0.641,0.6364000000000001
27,179,0.6486000000000001,0.6845,0.7073
28,99,0.6684,0.6402,0.6075
29,179,0.625,0.7104,0.6662
30,159,0.7012,0.625,0.686
31,59,0.6193000000000001,0.6738000000000001,0.6326
32,59,0.6646000000000001,0.6631,0.6921
33,79,0.6395000000000001,0.6852,0.6692
34,139,0.5427000000000001,0.6006,0.5922000000000001
35,99,0.6723,0.6791,0.6646000000000001
36,99,0.6784,0.7085,0.6791
37,39,0.6631,0.6502,0.6029
38,59,0.5686,0.6608,0.6585000000000001
39,59,0.6974,0.6959000000000001,0.6928000000000001
40,119,0.6273000000000001,0.6601,0.7096
41,119,0.6677000000000001,0.6265000000000001,0.6494
42,99,0.6715,0.6418,0.6547000000000001
43,79,0.6212,0.6692,0.6761
44,199,0.6509,0.6562,0.6258
45,99,0.6654,0.6913,0.6387
46,59,0.6902,0.7424000000000001,0.5983
47,199,0.6814,0.6113000000000001,0.6242
48,119,0.6616000000000001,0.6486000000000001,0.6197
49,99,0.628,0.6578,0.6502
50,199,0.6502,0.6258,0.6479
51,79,0.6822,0.6662,0.6936
52,59,0.6677000000000001,0.6502,0.6997
53,79,0.7218,0.6989000000000001,0.718
54,159,0.5236000000000001,0.5602,0.5099
55,79,0.6631,0.6425000000000001,0.6486000000000001
56,119,0.6753,0.6806,0.6974
57,79,0.6707000000000001,0.6532,0.6662
58,99,0.5877,0.6669,0.7058
59,99,0.6959000000000001,0.6723,0.7096
60,199,0.6273000000000001,0.6052000000000001,0.67
61,119,0.6745,0.6471,0.7027
62,119,0.721,0.6822,0.7264
63,139,0.6067,0.6303000000000001,0.6822
64,79,0.7058,0.6982,0.7378
65,99,0.6067,0.6639,0.6646000000000001
66,79,0.6319,0.6258,0.5831000000000001
67,59,0.5495,0.5282,0.5503
68,59,0.638,0.6601,0.6639
69,79,0.7001000000000001,0.7008,0.6787000000000001
70,19,0.6761,0.6555000000000001,0.6723
71,179,0.6745,0.6562,0.654
72,119,0.6532,0.6631,0.6776
73,139,0.6875,0.7073,0.6784
74,179,0.747,0.7172000000000001,0.7043
75,79,0.5602,0.577,0.5633
76,119,0.7355,0.7203,0.6502
77,119,0.6242,0.5716,0.6799000000000001
78,119,0.6616000000000001,0.6646000000000001,0.657
79,59,0.6448,0.6616000000000001,0.5823
80,79,0.6662,0.654,0.6456000000000001
81,99,0.7073,0.678,0.6825
82,99,0.6829000000000001,0.6799000000000001,0.6852
83,99,0.6639,0.6143000000000001,0.6273000000000001
84,119,0.5945,0.6639,0.6098
85,39,0.6738000000000001,0.641,0.7096
86,179,0.6768000000000001,0.6677000000000001,0.7218
87,139,0.6189,0.7027,0.6684
88,99,0.6059,0.6593,0.7195
89,99,0.6547000000000001,0.6509,0.6814
90,159,0.6761,0.6608,0.6418
91,39,0.6623,0.6677000000000001,0.6974
92,79,0.5747,0.5694,0.5648000000000001
93,79,0.6631,0.6547000000000001,0.6555000000000001
94,159,0.6761,0.6486000000000001,0.673
95,119,0.7241000000000001,0.6837000000000001,0.673
96,159,0.7149,0.6387,0.7332000000000001
97,139,0.6738000000000001,0.7157,0.6715
98,119,0.6944,0.6753,0.67
99,79,0.6959000000000001,0.686,0.6928000000000001
100,59,0.545,0.5069,0.5457000000000001
