random,epoch,1,2,3
1,199,0.6052000000000001,0.6159,0.5808
2,119,0.7439,0.6303000000000001,0.6799000000000001
3,79,0.4878,0.4878,0.548
4,59,0.5663,0.5434,0.5838
5,119,0.6227,0.5777,0.5091
6,59,0.5854,0.5587,0.6052000000000001
7,139,0.5587,0.6303000000000001,0.6014
8,139,0.6052000000000001,0.5114000000000001,0.5671
9,0,0.6463,0.49920000000000003,0.5
10,199,0.5389,0.5648000000000001,0.5838
11,19,0.6349,0.529,0.6479
12,79,0.6639,0.5541,0.5899
13,99,0.5084000000000001,0.6707000000000001,0.5495
14,59,0.5907,0.4444,0.6555000000000001
15,119,0.6608,0.6936,0.6448
16,59,0.5312,0.5526,0.5816
17,99,0.6197,0.5633,0.5145000000000001
18,139,0.5877,0.5084000000000001,0.5191
19,159,0.5922000000000001,0.6136,0.6136
20,39,0.5838,0.6204000000000001,0.6037
21,119,0.6021000000000001,0.4581,0.5663
22,119,0.6006,0.4909,0.5404
23,19,0.5053,0.6021000000000001,0.5686
24,119,0.545,0.6067,0.5183
25,39,0.6646000000000001,0.529,0.6044
26,119,0.5465,0.6433,0.6265000000000001
27,79,0.5579000000000001,0.5488000000000001,0.5640000000000001
28,59,0.6105,0.46040000000000003,0.48550000000000004
29,139,0.5511,0.5549000000000001,0.5297000000000001
30,19,0.5907,0.6326,0.6578
31,99,0.5069,0.5503,0.5526
32,19,0.48250000000000004,0.4802,0.5549000000000001
33,179,0.6303000000000001,0.596,0.6052000000000001
34,139,0.5709000000000001,0.622,0.503
35,39,0.5534,0.6082000000000001,0.5648000000000001
36,119,0.612,0.439,0.5808
37,79,0.628,0.5762,0.5899
38,59,0.5716,0.5526,0.6639
39,179,0.7226,0.5663,0.6021000000000001
40,59,0.5328,0.4909,0.5694
41,19,0.5877,0.6204000000000001,0.6677000000000001
42,119,0.6258,0.7782,0.6562
43,99,0.5968,0.6402,0.5732
44,0,0.5884,0.6105,0.6345000000000001
45,19,0.5076,0.5907,0.5724
46,0,0.5297000000000001,0.5762,0.45580000000000004
47,179,0.5389,0.6921,0.6456000000000001
48,19,0.5267000000000001,0.4787,0.6052000000000001
49,39,0.6799000000000001,0.6951,0.5381
50,99,0.45580000000000004,0.5495,0.6555000000000001
51,99,0.6258,0.6021000000000001,0.5404
52,139,0.532,0.5938,0.5473
53,19,0.6059,0.5221,0.5663
54,119,0.48860000000000003,0.4985,0.6631
55,39,0.4665,0.5282,0.6326
56,39,0.497,0.5412,0.5648000000000001
57,179,0.6425000000000001,0.5511,0.5694
58,19,0.5625,0.5122,0.5526
59,59,0.5602,0.5335,0.7149
60,59,0.5434,0.5434,0.4985
61,39,0.6311,0.5732,0.6021000000000001
62,99,0.5587,0.6082000000000001,0.5259
63,99,0.5724,0.5892000000000001,0.48550000000000004
64,79,0.5907,0.48860000000000003,0.5396000000000001
65,39,0.6677000000000001,0.654,0.6791
66,159,0.5747,0.6014,0.5777
67,139,0.5518000000000001,0.5831000000000001,0.5572
68,59,0.5175000000000001,0.4505,0.5823
69,39,0.5709000000000001,0.532,0.5404
70,119,0.6562,0.6890000000000001,0.5907
71,79,0.5701,0.5495,0.5755
72,119,0.44970000000000004,0.6616000000000001,0.6814
73,99,0.5381,0.5274,0.5419
74,59,0.6654,0.5884,0.6944
75,39,0.6357,0.6684,0.6547000000000001
76,39,0.6944,0.628,0.6669
77,99,0.5793,0.5694,0.5892000000000001
78,119,0.7614000000000001,0.5404,0.6372
79,179,0.6044,0.4939,0.6067
80,119,0.5976,0.513,0.5724
81,39,0.6288,0.5877,0.6052000000000001
82,79,0.5762,0.5808,0.6067
83,139,0.5998,0.6166,0.6067
84,79,0.5991000000000001,0.561,0.5389
85,79,0.6136,0.577,0.7066
86,159,0.5732,0.577,0.6387
87,179,0.6128,0.6341,0.5701
88,99,0.5389,0.5495,0.5823
89,179,0.6189,0.6273000000000001,0.5991000000000001
90,99,0.5747,0.6288,0.641
91,139,0.5259,0.5991000000000001,0.5053
92,99,0.5198,0.6212,0.5137
93,79,0.7233,0.6578,0.5686
94,199,0.7043,0.6776,0.6174000000000001
95,59,0.5396000000000001,0.6532,0.6311
96,99,0.6395000000000001,0.6311,0.6136
97,119,0.6113000000000001,0.7523000000000001,0.5434
98,39,0.5777,0.6227,0.561
99,139,0.612,0.6875,0.45880000000000004
100,39,0.468,0.5579000000000001,0.6021000000000001
