random,epoch,1,2,3
1,19,0.6905,0.7262000000000001,0.8016000000000001
2,19,0.6905,0.46430000000000005,0.7897000000000001
3,39,0.75,0.7103,0.5992000000000001
4,139,0.7024,0.6944,0.7143
5,39,0.7579,0.7262000000000001,0.5556
6,19,0.7579,0.8135,0.6825
7,119,0.6746,0.6389,0.7222000000000001
8,199,0.7143,0.6944,0.7222000000000001
9,19,0.7579,0.7817000000000001,0.7143
10,59,0.623,0.8056000000000001,0.6548
11,99,0.7698,0.7183,0.7262000000000001
12,19,0.6944,0.6071000000000001,0.8095
13,99,0.6151,0.7183,0.754
14,99,0.6627000000000001,0.7619,0.6706000000000001
15,159,0.6468,0.6706000000000001,0.8175
16,139,0.746,0.6746,0.7024
17,19,0.631,0.6548,0.7222000000000001
18,179,0.8175,0.6508,0.754
19,139,0.6825,0.8294,0.7262000000000001
20,19,0.7302000000000001,0.4802,0.9127000000000001
21,39,0.6587000000000001,0.8135,0.8175
22,179,0.6587000000000001,0.6429,0.8214
23,39,0.6468,0.8651000000000001,0.6746
24,59,0.6944,0.746,0.6706000000000001
25,19,0.7222000000000001,0.7778,0.7063
26,39,0.7222000000000001,0.6944,0.8016000000000001
27,39,0.6587000000000001,0.5476,0.6825
28,59,0.7103,0.6984,0.7183
29,139,0.8929,0.746,0.7421
30,19,0.754,0.7183,0.7857000000000001
31,19,0.7302000000000001,0.619,0.8016000000000001
32,39,0.5952000000000001,0.6349,0.7817000000000001
33,19,0.7381000000000001,0.7222000000000001,0.7937000000000001
34,19,0.7242000000000001,0.8056000000000001,0.6825
35,19,0.7421,0.6786,0.8254
36,19,0.7381000000000001,0.7579,0.8056000000000001
37,39,0.7698,0.6786,0.7302000000000001
38,19,0.7421,0.7063,0.6786
39,159,0.6746,0.7698,0.8333
40,199,0.8333,0.8651000000000001,0.8373
41,179,0.6667000000000001,0.8095,0.7897000000000001
42,19,0.8333,0.7619,0.7619
43,19,0.6984,0.6349,0.746
44,99,0.7143,0.7857000000000001,0.746
45,159,0.7063,0.6905,0.7302000000000001
46,39,0.7381000000000001,0.7302000000000001,0.7262000000000001
47,159,0.7619,0.754,0.7976000000000001
48,79,0.6032000000000001,0.8373,0.7262000000000001
49,39,0.7897000000000001,0.7381000000000001,0.754
50,59,0.7579,0.6746,0.7262000000000001
51,19,0.7421,0.7619,0.8135
52,99,0.7857000000000001,0.5397000000000001,0.7579
53,19,0.7341000000000001,0.7817000000000001,0.5595
54,79,0.6944,0.7183,0.6349
55,139,0.8095,0.7024,0.6944
56,19,0.623,0.8373,0.7659
57,59,0.6865,0.7143,0.6349
58,139,0.7897000000000001,0.7381000000000001,0.8294
59,199,0.7183,0.7222000000000001,0.7698
60,79,0.6667000000000001,0.7024,0.6905
61,59,0.7698,0.6786,0.7222000000000001
62,39,0.8413,0.7103,0.8651000000000001
63,19,0.7302000000000001,0.7381000000000001,0.7183
64,19,0.7619,0.7341000000000001,0.5278
65,19,0.7817000000000001,0.4484,0.869
66,19,0.7937000000000001,0.6786,0.7857000000000001
67,39,0.6627000000000001,0.7183,0.7341000000000001
68,19,0.7659,0.746,0.5079
69,19,0.8016000000000001,0.8214,0.6587000000000001
70,199,0.754,0.6825,0.7381000000000001
71,19,0.6587000000000001,0.7897000000000001,0.631
72,79,0.6944,0.8095,0.7579
73,39,0.7659,0.7103,0.6984
74,39,0.7302000000000001,0.8294,0.8056000000000001
75,199,0.746,0.6468,0.6429
76,119,0.7381000000000001,0.7659,0.7302000000000001
77,119,0.6706000000000001,0.6111,0.7341000000000001
78,199,0.5437000000000001,0.6667000000000001,0.6548
79,19,0.754,0.6984,0.6032000000000001
80,19,0.8294,0.6786,0.6508
81,99,0.7659,0.5754,0.8849
82,19,0.7579,0.7143,0.8294
83,19,0.7897000000000001,0.6746,0.6389
84,99,0.6429,0.7698,0.7421
85,19,0.7659,0.8452000000000001,0.754
86,79,0.6071000000000001,0.8135,0.8016000000000001
87,99,0.48410000000000003,0.5317000000000001,0.754
88,159,0.9008,0.6944,0.754
89,39,0.6746,0.7222000000000001,0.7421
90,119,0.8294,0.7103,0.6706000000000001
91,39,0.7698,0.8611000000000001,0.6468
92,159,0.7381000000000001,0.6746,0.5794
93,39,0.7063,0.6825,0.7897000000000001
94,59,0.6766,0.627,0.7103
95,19,0.7778,0.7619,0.7976000000000001
96,119,0.9048,0.7302000000000001,0.7778
97,139,0.6944,0.6032000000000001,0.7103
98,139,0.7302000000000001,0.6786,0.6944
99,179,0.8254,0.7262000000000001,0.7302000000000001
100,159,0.7738,0.7222000000000001,0.7937000000000001
