random,epoch,1,2,3
1,79,0.6706000000000001,0.5992000000000001,0.6548
2,199,0.631,0.627,0.6786
3,159,0.4325,0.6389,0.7063
4,59,0.6905,0.5635,0.7817000000000001
5,159,0.7183,0.754,0.7659
6,19,0.6587000000000001,0.7381000000000001,0.7063
7,199,0.6944,0.6389,0.6825
8,159,0.6627000000000001,0.6508,0.6508
9,99,0.46230000000000004,0.5595,0.7817000000000001
10,79,0.7143,0.7262000000000001,0.6944
11,119,0.5159,0.5992000000000001,0.7143
12,99,0.5992000000000001,0.6825,0.7897000000000001
13,19,0.623,0.6508,0.6389
14,59,0.5595,0.6548,0.5813
15,199,0.8016000000000001,0.6944,0.7183
16,39,0.619,0.627,0.623
17,199,0.5238,0.75,0.6905
18,179,0.5437000000000001,0.631,0.619
19,19,0.5952000000000001,0.7103,0.5952000000000001
20,79,0.5952000000000001,0.7024,0.3849
21,59,0.504,0.7143,0.369
22,159,0.6548,0.5992000000000001,0.5556
23,39,0.6706000000000001,0.4524,0.7262000000000001
24,179,0.7024,0.5079,0.5198
25,39,0.5833,0.42060000000000003,0.6627000000000001
26,99,0.627,0.6429,0.7183
27,59,0.6349,0.6944,0.6429
28,139,0.49210000000000004,0.7738,0.7302000000000001
29,59,0.7262000000000001,0.6667000000000001,0.5952000000000001
30,19,0.5595,0.5794,0.6786
31,139,0.4365,0.5754,0.6885
32,179,0.6151,0.746,0.6389
33,159,0.6429,0.5952000000000001,0.5556
34,179,0.7738,0.7222000000000001,0.7659
35,139,0.5357000000000001,0.6429,0.6746
36,19,0.5159,0.5714,0.6706000000000001
37,119,0.754,0.75,0.6151
38,159,0.6548,0.6825,0.7183
39,0,0.627,0.381,0.6508
40,79,0.5198,0.6468,0.6627000000000001
41,39,0.6667000000000001,0.75,0.6429
42,79,0.4325,0.6627000000000001,0.7341000000000001
43,99,0.8214,0.7103,0.6865
44,139,0.5675,0.6706000000000001,0.5159
45,39,0.5675,0.7222000000000001,0.5595
46,159,0.5714,0.6389,0.48410000000000003
47,59,0.6587000000000001,0.6667000000000001,0.48410000000000003
48,39,0.5,0.7222000000000001,0.6548
49,39,0.877,0.6905,0.7222000000000001
50,99,0.623,0.6349,0.6468
51,39,0.6429,0.6548,0.7103
52,39,0.746,0.7024,0.5833
53,139,0.5357000000000001,0.5317000000000001,0.8016000000000001
54,39,0.5198,0.5317000000000001,0.6349
55,39,0.5873,0.7063,0.6032000000000001
56,59,0.5397000000000001,0.5913,0.5794
57,199,0.7024,0.6944,0.746
58,59,0.6389,0.7341000000000001,0.5556
59,159,0.5198,0.5476,0.623
60,119,0.5833,0.623,0.8095
61,59,0.5873,0.6786,0.6905
62,59,0.631,0.8294,0.3889
63,159,0.5754,0.7381000000000001,0.6706000000000001
64,119,0.4444,0.6508,0.744
65,59,0.5635,0.7103,0.7421
66,39,0.6508,0.6587000000000001,0.7063
67,199,0.6548,0.7222000000000001,0.7302000000000001
68,19,0.6349,0.6746,0.7183
69,199,0.7143,0.7579,0.7421
70,199,0.6984,0.6984,0.6627000000000001
71,199,0.5635,0.8095,0.6984
72,159,0.6032000000000001,0.5913,0.5714
73,159,0.6706000000000001,0.631,0.8214
74,199,0.5794,0.6706000000000001,0.6667000000000001
75,39,0.8056000000000001,0.7817000000000001,0.6905
76,99,0.5357000000000001,0.631,0.6389
77,79,0.5833,0.7262000000000001,0.5556
78,159,0.6468,0.7262000000000001,0.6706000000000001
79,79,0.5595,0.5913,0.6667000000000001
80,119,0.5437000000000001,0.6786,0.7063
81,159,0.746,0.7143,0.75
82,79,0.5556,0.5833,0.5556
83,139,0.5119,0.619,0.5734
84,99,0.5556,0.6627000000000001,0.5119
85,159,0.6548,0.6786,0.6667000000000001
86,199,0.746,0.6905,0.6825
87,119,0.5079,0.42460000000000003,0.6587000000000001
88,39,0.6865,0.627,0.6071000000000001
89,159,0.8452000000000001,0.6786,0.6944
90,179,0.7579,0.5635,0.6548
91,139,0.6746,0.6667000000000001,0.5397000000000001
92,199,0.7897000000000001,0.8373,0.8889
93,199,0.6548,0.6746,0.5952000000000001
94,79,0.4405,0.6111,0.6865
95,159,0.5992000000000001,0.7222000000000001,0.7024
96,139,0.623,0.8214,0.7421
97,39,0.5675,0.6111,0.7341000000000001
98,59,0.6825,0.7698,0.623
99,39,0.619,0.75,0.5238
100,139,0.7063,0.7302000000000001,0.7063
