fold,target,dataset,model,acc,pre,rec,f1,auc,cm
1,PET,Only APOE,Logistic Regression,0.657534246575342,0.625,0.975609756097561,0.761904761904762,0.727896341463415,"[[8, 24], [1, 40]]"
2,PET,Only APOE,Logistic Regression,0.575342465753425,0.583333333333333,0.853658536585366,0.693069306930693,0.637576219512195,"[[7, 25], [6, 35]]"
3,PET,Only APOE,Logistic Regression,0.561643835616438,0.636363636363636,0.51219512195122,0.567567567567568,0.545731707317073,"[[20, 12], [20, 21]]"
4,PET,Only APOE,Logistic Regression,0.547945205479452,0.5625,0.878048780487805,0.685714285714286,0.688262195121951,"[[4, 28], [5, 36]]"
5,PET,Only APOE,Logistic Regression,0.616438356164384,0.6,0.951219512195122,0.735849056603773,0.762957317073171,"[[6, 26], [2, 39]]"
6,PET,Only APOE,Logistic Regression,0.616438356164384,0.724137931034483,0.51219512195122,0.6,0.61547256097561,"[[24, 8], [20, 21]]"
7,PET,Only APOE,Logistic Regression,0.597222222222222,0.588235294117647,0.975609756097561,0.73394495412844,0.588119590873328,"[[3, 28], [1, 40]]"
8,PET,Only APOE,Logistic Regression,0.666666666666667,0.774193548387097,0.585365853658537,0.666666666666667,0.656569630212431,"[[24, 7], [17, 24]]"
9,PET,Only APOE,Logistic Regression,0.569444444444444,0.666666666666667,0.487804878048781,0.563380281690141,0.574350904799371,"[[21, 10], [21, 20]]"
10,PET,Only APOE,Logistic Regression,0.583333333333333,0.584615384615385,0.926829268292683,0.716981132075472,0.608575924468922,"[[4, 27], [3, 38]]"
